ObjValue
93600
79200
77040
74160
71177.1428571428
68670
68078.7692307692
67843.2
67171.0344827586
66084.7058823529
65304
64800
64800
64800
64800
64800
64800
64800
64800
64800
64800
64800
64800
64800
64800
64800
64851.4285714286
64800
64800
64800
64800
64800
65022.8571428571
64800
64800
64832
64800
64800
64800
64800
64800
64800
64800
64960
64800
64800
64800
64800
64800
64800
65160
64800
64800
64800
64800
65520
65520
65520
65520
65376
64800
64800
64800
