交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,273,D5502/3,420,573,南京,南通
1,274,D5514/1,600,764,南通,南京
2,283,D5506/7,480,635,南京,南通
2,284,D5518/5,655,807,南通,南京
2,345,D9515,868,905,南京,芜湖
2,346,D9516,925,962,芜湖,南京
3,287,D5516/7,773,912,南京,南通
3,288,D5528/5,936,1073,南通,南京
3,349,D9519,1135,1178,南京,芜湖
3,350,D9520,1200,1237,芜湖,南京
4,275,D5522/3,800,952,南京,南通
4,276,D5534/1,972,1121,南通,南京
5,285,D5526/7,842,1005,南京,南通
5,286,D5538/5,1055,1210,南通,南京
6,279,D5532/3,949,1110,南京,南通
6,280,D5544/1,1168,1320,南通,南京
7,289,D5536/7,1093,1241,南京,南通
7,290,D5548/5,1261,1408,南通,南京
8,281,D5562/3,331,380,南京,扬州
8,282,D5564/1,405,457,扬州,南京
8,96,G7105,518,644,南京,上海
8,97,G7106,665,778,上海,南京
9,309,D5607,1010,1136,南京,安庆
9,310,D5610,1156,1270,安庆,南京
10,298,D5641,420,463,南京,芜湖
10,299,D5642,482,525,芜湖,南京
10,277,D5512/3,555,698,南京,南通
10,278,D5524/1,714,862,南通,南京
11,291,D5651,411,517,合肥,安庆
11,292,D5654,537,648,安庆,合肥
11,293,D5657,680,785,合肥,安庆
11,294,D5658,811,916,安庆,合肥
12,305,D5653,438,544,合肥,安庆
12,306,D5602,577,697,安庆,南京
12,307,D5603,715,841,南京,安庆
12,336,G9504,871,973,安庆,合肥
13,313,D5655,542,647,合肥,安庆
13,314,D5656,676,781,安庆,合肥
13,315,D5659,803,908,合肥,安庆
13,316,D5660,936,1041,安庆,合肥
14,315,D5659,803,908,合肥,安庆
14,316,D5660,936,1041,安庆,合肥
14,295,D5662,1082,1187,合肥,安庆
14,296,D5665,1225,1331,安庆,合肥
15,345,D9515,868,905,南京,芜湖
15,156,G7284/1,938,1083,芜湖,上海
15,238,G7391/4,1098,1304,上海,南京
16,351,D9522/3,600,774,南京,南通
16,352,D9524/1,853,1014,南通,南京
17,353,D9526/7,1037,1186,南京,南通
17,354,D9528/5,1209,1357,南通,南京
18,231,DJ7698,306,374,上海,南京
18,46,G7035,391,515,南京,上海
18,12,G7006,540,639,上海,南京
18,14,G7009,660,759,南京,上海
19,231,DJ7698,306,374,上海,南京
19,182,G7505,433,650,南京,宁波
19,183,G7510,684,807,宁波,上海
20,175,DJ7699,310,378,南京,上海
20,239,G7395/8,447,660,上海,南京
20,343,D9513,745,782,南京,芜湖
20,344,D9514,805,848,芜湖,南京
21,37,DJ7715,301,388,南京,上海
21,24,G7002,420,525,上海,南京
21,300,D5601,545,665,南京,安庆
21,301,D5604,688,808,安庆,南京
22,43,DJ7716,305,408,上海,南京
22,168,G7643,424,653,南京,丽水
22,169,G7348,679,844,丽水,上海
23,227,DJ7725,287,333,上海,杭州
23,211,G7327,381,406,杭州,诸暨
23,212,G7328,423,448,诸暨,杭州
23,205,G7302,478,543,杭州,上海
24,227,DJ7725,287,333,上海,杭州
24,193,G7358,370,456,杭州,上海
24,268,G7549,490,622,上海,宁波
24,183,G7510,684,807,宁波,上海
25,227,DJ7725,287,333,上海,杭州
25,228,G7361,350,444,杭州,江山
25,229,G7364,459,636,江山,上海
26,227,DJ7725,287,333,上海,杭州
26,270,G7556,408,483,杭州,上海
26,51,G7206,505,546,上海,苏州
26,52,G7205,564,603,苏州,上海
27,220,DJ7731,291,445,杭州,温州南
27,221,G7568,480,637,温州南,杭州
28,311,DJ8697,300,390,南京,安庆
28,312,D5652,411,522,安庆,合肥
28,313,D5655,542,647,合肥,安庆
28,301,D5604,688,808,安庆,南京
29,297,DJ8698,312,402,合肥,南京
29,298,D5641,420,463,南京,芜湖
29,92,G7150/47,498,664,芜湖,上海
29,153,G7264/5,677,852,上海,合肥
30,10,G7001,420,520,南京,上海
30,59,G7202,557,610,上海,无锡
30,60,G7201,630,691,无锡,上海
30,40,G7048,745,874,上海,南京
31,25,G7003,480,579,南京,上海
31,206,G7180,615,698,上海,南京
31,307,D5603,715,841,南京,安庆
31,308,D5606,860,992,安庆,南京
32,26,G7005,540,639,南京,上海
32,264,G7509,658,773,上海,宁波
32,265,G7514,794,920,宁波,上海
32,19,G7020,960,1059,上海,南京
33,29,G7011,720,819,南京,上海
33,71,G7050,870,990,上海,南京
33,34,G7021,1020,1121,南京,上海
33,36,G7026,1140,1240,上海,南京
34,30,G7013,780,879,南京,上海
34,234,G7517,896,1011,上海,宁波
34,235,G7522,1035,1166,宁波,上海
34,23,G7028,1200,1299,上海,南京
35,16,G7014,780,879,上海,南京
35,18,G7017,900,1000,南京,上海
35,209,G7311,1047,1119,上海,杭州
35,198,G7352,1200,1291,杭州,上海
36,17,G7015,840,940,南京,上海
36,55,G7054,980,1100,上海,南京
36,100,G7123,1114,1230,南京,上海
36,57,G7098,1265,1378,上海,南京
37,17,G7015,840,940,南京,上海
37,132,G7064,975,1100,上海,南京
37,56,G7097,1120,1244,南京,上海
37,67,G7030,1260,1379,上海,南京
38,31,G7016,840,941,上海,南京
38,33,G7019,960,1060,南京,上海
38,79,G7058,1093,1220,上海,南京
38,80,G7069,1241,1360,南京,上海
39,119,G7029,336,450,南京,上海
39,11,G7004,480,579,上海,南京
