iter,label num,time*10000
1,11377,2206.029
2,11365,2086.636
3,11001,2922.837
4,10825,5252.813
5,10454,2126.136
6,10209,2289.984
7,10180,2567.063
8,9874,2506.751
9,11896,2822.555
10,11885,2903.448
11,10614,2603.086
12,9968,2543.206
13,10941,2823.295
14,9050,2308.038
15,11405,2731.569
16,9162,2326.063
17,9303,2445.194
18,14383,3184.213
19,13552,2711.544
20,10078,2402.368
21,14926,3594.946
22,14419,3181.643
23,13900,3412.838
24,10163,2761.666
25,15700,3411.97
26,12408,3139.099
27,12244,2963.47
28,13534,3159.92
29,12990,3010.718
30,14050,3156.311
31,12591,3028.379
32,12948,3056.841
33,11024,2688.435
34,10931,2763.992
35,8675,2645.014
36,8688,2411.267
37,8688,2478.049
38,8688,2444.548
39,8688,2445.117
40,8688,2423.454
41,8688,2382.051
42,8688,2671.052
43,8688,2406.922
44,8688,2449.009
45,8688,2408.329
46,8688,2700.913
47,8688,2461.499
48,8688,2418.596
49,8688,2423.993
50,8688,2397.039
51,8688,2646.814
52,8688,2435.633
53,8688,2409.761
54,8688,2436.218
55,8688,2443.368
56,8688,2702.53
57,8688,2473.041
58,8688,2398.643
59,8688,2437.219
60,8688,2391.335
61,8688,2650.843
62,8688,2435.919
63,8688,2440.405
64,8688,2457.711
65,8688,2438.758
66,8688,2699.284
67,8688,2427.952
68,8688,2451.01
69,8688,2397.66
70,8688,2643.124
71,8688,2412.327
72,8688,2468.217
73,8688,2396.625
74,8688,2438.805
75,8688,2407.294
76,8688,2670.308
77,8688,2433.409
78,8688,2408.658
79,8688,2666.703
80,8688,2452.622
81,8688,2427.982
82,8688,2454.675
83,8688,2426.122
84,8688,2693.096
85,8688,2485.027
86,8688,2394.555
87,8688,2456.351
88,8688,2395.795
89,8688,2690.342
90,8688,2436.141
91,8688,2518.609
92,8688,2422.239
93,8688,2728.238
94,8688,2484.45
95,8688,2406.37
96,8688,2442.312
97,8688,2489.128
98,8688,2643.184
99,8688,2474.645
100,8688,2579.772
101,8688,2529.274
102,8688,2475.235
103,8688,2749.239
104,8688,2521.315
105,8688,2448.401
106,8688,2725.989
107,8688,2447.786
108,8688,2671.484
109,8688,2571.065
110,8688,2502.658
111,8688,2466.396
112,8688,2499.695
113,8688,2880.276
114,8688,2552.947
115,8688,2578.112
116,8688,2614.366
117,8688,2498.822
118,8688,2866.57
119,8688,2578.211
120,8688,3081.939
121,8688,2684.022
122,8688,2487.076
123,8688,2940.412
124,8688,2545.13
125,8688,2448.106
126,8688,2876.662
127,8688,3259.424
128,8688,2775.35
129,8688,2675.529
130,8688,2661.952
131,8688,2452.652
132,8688,2520.811
133,8688,2713.088
134,8688,2607.187
135,8688,2668.388
136,8688,2458.887
137,8688,2464.955
138,8688,2447.503
139,8688,2798.351
140,8688,2418.938
141,8688,2484.471
142,8688,2448.32
143,8688,2588.264
144,8688,2763.539
145,8688,2433.674
146,8688,2441.568
147,8688,2426.451
148,8688,2742.897
149,8688,2440.212
150,8688,2457.582
151,8688,2411.267
152,8688,2661.884
153,8688,2417.604
154,8688,2441.222
155,8688,2410.852
156,8688,2413.73
157,8688,2694.695
158,8688,2443.334
159,8688,2440.097
160,8688,2432.592
161,8688,2397.664
162,8688,2635.003
163,8688,2397.903
164,8688,2417.788
165,8688,2418.848
166,8688,2397.6
167,8688,2654.738
168,8688,2459.276
169,8688,2437.57
170,8688,2703.804
171,8688,2479.143
172,8688,2406.169
173,8688,2402.385
174,8688,2416.962
175,8688,2417.369
176,8688,2676.312
177,8688,2447.589
178,8688,2431.788
179,8688,2406.695
180,8688,2703.359
181,13152,3324.042
182,14109,3746.928
183,10143,2649.312
184,9771,2527.448
185,10367,2826.57
186,11366,2792.147
187,11760,2817.026
188,8915,2403.274
189,8838,2443.514
190,8630,2398.63
191,8630,2402.59
192,8630,2703.094
193,8630,2446.717
194,8630,2411.07
195,8630,2599.34
196,8630,2508.033
197,8630,2880.511
198,8630,2566.002
199,8630,2542.65
200,8630,2684.146
201,8630,2554.123
202,8630,2909.328
203,8630,2605.365
204,8630,2563.402
205,8630,2705.929
206,8630,2516.205
