第161个节点
UB = 240480, LB = 240480, GAP = 0
杭州东站426分出乘G7558 →G212 →G163/1 →G7613 杭州东站1075分退乘 ,总长度, 649,纯乘务时间 512,总接续时间 137,外驻时间 0,总工作时间769
南京南站868分出乘D9515 →G7092/1 →G7094 →G7350/2 南京南站1408分退乘 ,总长度, 540,纯乘务时间 337,总接续时间 203,外驻时间 0,总工作时间660
南京南站367分出乘G7601 →G7639 →G7467 →G7467/1 →G7660 →G1484/3 南京南站1073分退乘 ,总长度, 706,纯乘务时间 495,总接续时间 211,外驻时间 0,总工作时间826
合肥南站747分出乘G9503 →D5660 →D5663 →D5664 合肥南站1297分退乘 ,总长度, 550,纯乘务时间 425,总接续时间 125,外驻时间 0,总工作时间670
上海虹桥站665分出乘G7106 →G7015 →G7064 →G7603 →G7340/1 上海虹桥站1324分退乘 ,总长度, 659,纯乘务时间 485,总接续时间 174,外驻时间 0,总工作时间779
上海虹桥站793分出乘G7112 →G7119 →G9311 →G9311/1 →G9312 上海虹桥站1407分退乘 ,总长度, 614,纯乘务时间 501,总接续时间 113,外驻时间 0,总工作时间734
杭州东站667分出乘G7379 →G7335/1 →G7350 杭州东站1233分退乘 ,总长度, 566,纯乘务时间 356,总接续时间 210,外驻时间 0,总工作时间686
上海虹桥站484分出乘G7503 →G7510 →G7347 →G7464/1 →G7550/3 →G7550/4 上海虹桥站1171分退乘 ,总长度, 687,纯乘务时间 451,总接续时间 236,外驻时间 0,总工作时间807
南京站729分出乘G7051 →G7100 →D9526 →D9528 南京站1357分退乘 ,总长度, 628,纯乘务时间 547,总接续时间 81,外驻时间 0,总工作时间748
合肥南站448分出乘D2103 →D2103/1 →D2103/2 →D5691 →D5692 →D2101 合肥南站1146分退乘 ,总长度, 698,纯乘务时间 473,总接续时间 225,外驻时间 0,总工作时间818
合肥南站446分出乘D5653 →D5602 →G7674/2 →D5659 →D5660 合肥南站1042分退乘 ,总长度, 596,纯乘务时间 494,总接续时间 102,外驻时间 0,总工作时间716
合肥南站681分出乘D5657 →D5658 →G7242/1 →D5609 →D5666 合肥南站1347分退乘 ,总长度, 666,纯乘务时间 483,总接续时间 183,外驻时间 0,总工作时间786
南京站773分出乘D5516 →D5528 →D5536 →D5548 南京站1408分退乘 ,总长度, 635,纯乘务时间 571,总接续时间 64,外驻时间 0,总工作时间755
上海站353分出乘G7032 →D5506 →D5518 →G7061 上海站1070分退乘 ,总长度, 717,纯乘务时间 551,总接续时间 166,外驻时间 0,总工作时间837
南京站331分出乘D5562 →D5564 →G7003 →G7040 →G7051 →G7100 南京站1011分退乘 ,总长度, 680,纯乘务时间 568,总接续时间 112,外驻时间 0,总工作时间800
南京站629分出乘G7111 →G7110 →D5532 →D5544 南京站1320分退乘 ,总长度, 691,纯乘务时间 561,总接续时间 130,外驻时间 0,总工作时间811
南京站420分出乘D5502 →D5514 →D5522 →D5534 南京站1121分退乘 ,总长度, 701,纯乘务时间 618,总接续时间 83,外驻时间 0,总工作时间821
上海虹桥站374分出乘G7541 →G7532 →G7386/1 →G7386/2 →G7388 上海虹桥站1048分退乘 ,总长度, 674,纯乘务时间 584,总接续时间 90,外驻时间 0,总工作时间794
上海虹桥站374分出乘G7541 →G7541/1 →G7508 →G7378/1 →G7608/1 →G1820/1 上海虹桥站1092分退乘 ,总长度, 718,纯乘务时间 595,总接续时间 123,外驻时间 0,总工作时间838
杭州东站659分出乘G7369 →G7380 →G7380/1 →G7463 →G7463/1 →G7466 杭州东站1365分退乘 ,总长度, 706,纯乘务时间 501,总接续时间 205,外驻时间 0,总工作时间826
合肥南站759分出乘G7634/1 →G7656/7 →G7423 →G7422 合肥南站1359分退乘 ,总长度, 600,纯乘务时间 521,总接续时间 79,外驻时间 0,总工作时间720
合肥南站681分出乘D5657 →D5658 →G7421 →G7422 合肥南站1359分退乘 ,总长度, 678,纯乘务时间 418,总接续时间 260,外驻时间 0,总工作时间798
合肥南站470分出乘G7413 →G7414 →G7634/1 →G7656/7 合肥南站1108分退乘 ,总长度, 638,纯乘务时间 542,总接续时间 96,外驻时间 0,总工作时间758
合肥南站681分出乘D5657 →D5658 →G7405/1 →G7408 →G7433 合肥南站1318分退乘 ,总长度, 637,纯乘务时间 542,总接续时间 95,外驻时间 0,总工作时间757
合肥南站511分出乘G7401 →G7406 →G7405 合肥南站936分退乘 ,总长度, 425,纯乘务时间 326,总接续时间 99,外驻时间 0,总工作时间545
上海虹桥站447分出乘G7395/8 →G7674/2 →G7676 →G7522 →G7522/1 上海虹桥站1166分退乘 ,总长度, 719,纯乘务时间 629,总接续时间 90,外驻时间 0,总工作时间839
南京南站530分出乘G7611 →G7512 →G7152 →G7152/1 →D9520 南京南站1238分退乘 ,总长度, 708,纯乘务时间 489,总接续时间 219,外驻时间 0,总工作时间828
上海虹桥站689分出乘G7537 →G7669/2 →G7338 上海虹桥站1288分退乘 ,总长度, 599,纯乘务时间 454,总接续时间 145,外驻时间 0,总工作时间719
上海虹桥站658分出乘G7509 →G7514 →G7567 →G7528 上海虹桥站1351分退乘 ,总长度, 693,纯乘务时间 564,总接续时间 129,外驻时间 0,总工作时间813
合肥南站411分出乘D5651 →D5654 →G7417 →G7418 合肥南站1061分退乘 ,总长度, 650,纯乘务时间 419,总接续时间 231,外驻时间 0,总工作时间770
南京南站620分出乘D9511 →D9512 →G7670/2 →G7685 →G7685/1 →G7685/2 →G7650/2 南京南站1310分退乘 ,总长度, 690,纯乘务时间 518,总接续时间 172,外驻时间 0,总工作时间810
杭州东站659分出乘G7369 →G7380 →G7380/1 →G7623 →G7623/1 →G7466 杭州东站1365分退乘 ,总长度, 706,纯乘务时间 517,总接续时间 189,外驻时间 0,总工作时间826
南京南站688分出乘G1481 →G7621 →G7621/1 →G7628 南京南站1377分退乘 ,总长度, 689,纯乘务时间 468,总接续时间 221,外驻时间 0,总工作时间809
杭州东站410分出乘G7686 →G7686/1 →G7669 →G7608/1 →G7613 杭州东站1075分退乘 ,总长度, 665,纯乘务时间 582,总接续时间 83,外驻时间 0,总工作时间785
杭州东站780分出乘G7345 →G7345/1 →G7538 杭州东站1223分退乘 ,总长度, 443,纯乘务时间 374,总接续时间 69,外驻时间 0,总工作时间563
上海虹桥站287分出乘DJ7725 →G7341 →G7341/1 →G7322 上海虹桥站942分退乘 ,总长度, 655,纯乘务时间 439,总接续时间 216,外驻时间 0,总工作时间775
上海虹桥站374分出乘G1802 →G7611 →G7608 →G7608/1 →G1820/1 上海虹桥站1092分退乘 ,总长度, 718,纯乘务时间 480,总接续时间 238,外驻时间 0,总工作时间838
南京站600分出乘G7007 →G7244/5 →G7242/1 →G7298/1 →G7062 南京站1293分退乘 ,总长度, 693,纯乘务时间 520,总接续时间 173,外驻时间 0,总工作时间813
合肥南站759分出乘G7634/1 →G7656/7 →G7452 →G271/1 合肥南站1409分退乘 ,总长度, 650,纯乘务时间 527,总接续时间 123,外驻时间 0,总工作时间770
合肥南站461分出乘G7258/5 →G7296 →G7296/1 →G7296/2 →G7454 合肥南站1160分退乘 ,总长度, 699,纯乘务时间 557,总接续时间 142,外驻时间 0,总工作时间819
合肥南站539分出乘D5655 →G7138 →G7196/7 合肥南站1225分退乘 ,总长度, 686,纯乘务时间 495,总接续时间 191,外驻时间 0,总工作时间806
南京南站688分出乘G1481 →G7621 →G7621/1 →G7630 南京南站1372分退乘 ,总长度, 684,纯乘务时间 480,总接续时间 204,外驻时间 0,总工作时间804
上海站600分出乘G7008 →G7011 →G7276 →G7276/1 →G7275 →G7275/1 →G7275/2 上海站1318分退乘 ,总长度, 718,纯乘务时间 592,总接续时间 126,外驻时间 0,总工作时间838
上海站921分出乘G9246 →G9246/1 →G9248 上海站1399分退乘 ,总长度, 478,纯乘务时间 452,总接续时间 26,外驻时间 0,总工作时间598
杭州东站650分出乘G7332/1 →G7164/5 →G7664 →G2344/5 →G7534 →G7534/1 杭州东站1347分退乘 ,总长度, 697,纯乘务时间 527,总接续时间 170,外驻时间 0,总工作时间817
杭州东站635分出乘G2342/1 →G2342/2 →G1364 →G7384 杭州东站1355分退乘 ,总长度, 720,纯乘务时间 579,总接续时间 141,外驻时间 0,总工作时间840
合肥南站480分出乘G1621 →G1509/1 →G7416 合肥南站957分退乘 ,总长度, 477,纯乘务时间 343,总接续时间 134,外驻时间 0,总工作时间597
合肥南站785分出乘G268 →G145/1 →G7596/2 合肥南站1363分退乘 ,总长度, 578,纯乘务时间 403,总接续时间 175,外驻时间 0,总工作时间698
杭州东站569分出乘G7364/1 →G1956 →G45/1 杭州东站1283分退乘 ,总长度, 714,纯乘务时间 435,总接续时间 279,外驻时间 0,总工作时间834
杭州东站514分出乘G7564/5 →G7198/1 →G163/2 →G9515 →G9516 杭州东站1231分退乘 ,总长度, 717,纯乘务时间 533,总接续时间 184,外驻时间 0,总工作时间837
上海虹桥站287分出乘DJ7725 →G7341 →G7341/1 →G164 →G7334/1 →G7334/2 上海虹桥站908分退乘 ,总长度, 621,纯乘务时间 485,总接续时间 136,外驻时间 0,总工作时间741
杭州东站291分出乘DJ7731 →G7341/1 →G7624 →G7546 杭州东站866分退乘 ,总长度, 575,纯乘务时间 412,总接续时间 163,外驻时间 0,总工作时间695
南京南站553分出乘G7175/1 →G7461 →G7461/1 →G7636 →G7642/1 南京南站1241分退乘 ,总长度, 688,纯乘务时间 546,总接续时间 142,外驻时间 0,总工作时间808
南京南站450分出乘G7349 →G7325/1 →G7380 →G7380/1 →G7690/1 南京南站1069分退乘 ,总长度, 619,纯乘务时间 470,总接续时间 149,外驻时间 0,总工作时间739
上海虹桥站516分出乘G360 →G1820 →G145/2 上海虹桥站1233分退乘 ,总长度, 717,纯乘务时间 531,总接续时间 186,外驻时间 0,总工作时间837
南京南站342分出乘0D5645 →D5646 →G1802/1 →G1820 南京南站1007分退乘 ,总长度, 665,纯乘务时间 526,总接续时间 139,外驻时间 0,总工作时间785
上海虹桥站648分出乘G1349 →G2344/3 →G7650 →G1640/1 上海虹桥站1363分退乘 ,总长度, 715,纯乘务时间 473,总接续时间 242,外驻时间 0,总工作时间835
南京南站545分出乘D5601 →D5656 →G7198/1 →G7198/2 →G7198/3 →G7520/1 南京南站1240分退乘 ,总长度, 695,纯乘务时间 482,总接续时间 213,外驻时间 0,总工作时间815
上海站578分出乘G7351 →G7304 →G7515 →G7520 →G7204/1 →G7203 上海站1269分退乘 ,总长度, 691,纯乘务时间 514,总接续时间 177,外驻时间 0,总工作时间811
合肥南站312分出乘DJ8698 →G7505 →G7540/1 →G9402/3 合肥南站1027分退乘 ,总长度, 715,纯乘务时间 633,总接续时间 82,外驻时间 0,总工作时间835
南京南站553分出乘G7175/1 →G7461 →G7461/1 →G7626 →G7642/1 南京南站1241分退乘 ,总长度, 688,纯乘务时间 545,总接续时间 143,外驻时间 0,总工作时间808
南京南站620分出乘D9511 →D9512 →D9513 →D9514 →D9515 →G7288 →G7588/3 南京南站1324分退乘 ,总长度, 704,纯乘务时间 330,总接续时间 374,外驻时间 0,总工作时间824
杭州东站778分出乘G7678/1 →G7680 →G7534/1 杭州东站1347分退乘 ,总长度, 569,纯乘务时间 377,总接续时间 192,外驻时间 0,总工作时间689
杭州东站565分出乘G7689/1 →G7468 →G7468/1 →G7468/2 →G9313 →G9314 →G9314/1 杭州东站1269分退乘 ,总长度, 704,纯乘务时间 542,总接续时间 162,外驻时间 0,总工作时间824
南京南站718分出乘G7674/2 →D5659 →D5660 →G7658/5 →G7668/1 南京南站1394分退乘 ,总长度, 676,纯乘务时间 530,总接续时间 146,外驻时间 0,总工作时间796
杭州东站659分出乘G7369 →G7380 →G7380/1 →G7567 →G7668 杭州东站1311分退乘 ,总长度, 652,纯乘务时间 581,总接续时间 71,外驻时间 0,总工作时间772
杭州东站730分出乘G7604 →G7609 →G7590 →G7535 →G7535/1 →G7534 →G7534/1 杭州东站1347分退乘 ,总长度, 617,纯乘务时间 519,总接续时间 98,外驻时间 0,总工作时间737
上海虹桥站410分出乘G7501 →G7665/2 →G7326 上海虹桥站985分退乘 ,总长度, 575,纯乘务时间 439,总接续时间 136,外驻时间 0,总工作时间695
杭州东站636分出乘G7506/1 →G7511 →G7578/4 →G7536 杭州东站1343分退乘 ,总长度, 707,纯乘务时间 489,总接续时间 218,外驻时间 0,总工作时间827
杭州东站548分出乘G7643/2 →G7643/3 →G7348 →G7698/2 →G2328/1 →G7340 杭州东站1258分退乘 ,总长度, 710,纯乘务时间 479,总接续时间 231,外驻时间 0,总工作时间830
杭州东站548分出乘G7643/2 →G7694/1 →G2328/1 →G7340 杭州东站1258分退乘 ,总长度, 710,纯乘务时间 360,总接续时间 350,外驻时间 0,总工作时间830
合肥南站840分出乘G7238/5 →G7292 →G271/1 合肥南站1409分退乘 ,总长度, 569,纯乘务时间 477,总接续时间 92,外驻时间 0,总工作时间689
合肥南站681分出乘D5657 →D5606 →D9517 →D9518 →D9519 →G7144/1 →D5665 合肥南站1347分退乘 ,总长度, 666,纯乘务时间 482,总接续时间 184,外驻时间 0,总工作时间786
上海站559分出乘G7202 →G7201 →G7282 →G7088/1 →G7090 上海站1274分退乘 ,总长度, 715,纯乘务时间 583,总接续时间 132,外驻时间 0,总工作时间835
上海站490分出乘G7036 →G7009 →G7088 →G7288 →G7288/1 上海站1207分退乘 ,总长度, 717,纯乘务时间 570,总接续时间 147,外驻时间 0,总工作时间837
合肥南站626分出乘G7598 →G7578/2 →G7550/1 →G7550/2 →G7652/3 合肥南站1271分退乘 ,总长度, 645,纯乘务时间 494,总接续时间 151,外驻时间 0,总工作时间765
杭州东站646分出乘G7355/1 →G7356 →G7585 →G7534/1 杭州东站1347分退乘 ,总长度, 701,纯乘务时间 486,总接续时间 215,外驻时间 0,总工作时间821
南京站455分出乘G7355 →G7332/1 →G7110 →G7059 →G7056 南京站1165分退乘 ,总长度, 710,纯乘务时间 608,总接续时间 102,外驻时间 0,总工作时间830
南京南站496分出乘D9509 →G7076/1 →D5656 →G7676 →G7610 南京南站1212分退乘 ,总长度, 716,纯乘务时间 619,总接续时间 97,外驻时间 0,总工作时间836
上海站383分出乘G7076 →D9510 →G7674/2 →G7238/5 上海站1031分退乘 ,总长度, 648,纯乘务时间 459,总接续时间 189,外驻时间 0,总工作时间768
杭州东站617分出乘G7674/1 →D9513 →G7136/1 →D5660 →G9404/1 →G7555 杭州东站1327分退乘 ,总长度, 710,纯乘务时间 557,总接续时间 153,外驻时间 0,总工作时间830
上海虹桥站694分出乘G7317 →G7319 →G7319/1 →G7388/1 →G7388/2 →G9312 上海虹桥站1407分退乘 ,总长度, 713,纯乘务时间 577,总接续时间 136,外驻时间 0,总工作时间833
上海虹桥站864分出乘G9236/7 →G9238/5 上海虹桥站1345分退乘 ,总长度, 481,纯乘务时间 451,总接续时间 30,外驻时间 0,总工作时间601
杭州东站291分出乘DJ7731 →G7568 →G7369 →G7380 →G7380/1 杭州东站916分退乘 ,总长度, 625,纯乘务时间 548,总接续时间 77,外驻时间 0,总工作时间745
南京南站348分出乘0G7307 →G7307 →G7307/1 →G7180 →D5603 →D5606 南京南站986分退乘 ,总长度, 638,纯乘务时间 545,总接续时间 93,外驻时间 0,总工作时间758
南京南站620分出乘D9511 →G7084/1 →G7146 →G7146/1 →G7391/4 南京南站1304分退乘 ,总长度, 684,纯乘务时间 559,总接续时间 125,外驻时间 0,总工作时间804
上海虹桥站427分出乘G7543 →G7334 →G7334/1 →G7334/2 →G7309 →G7312 上海虹桥站1140分退乘 ,总长度, 713,纯乘务时间 584,总接续时间 129,外驻时间 0,总工作时间833
上海虹桥站510分出乘G7325 →G7638/1 →G7326 →G7311 →G7314 上海虹桥站1203分退乘 ,总长度, 693,纯乘务时间 588,总接续时间 105,外驻时间 0,总工作时间813
上海虹桥站395分出乘G7301 →G7302 →G7132 →G7146 →G7146/1 上海虹桥站1073分退乘 ,总长度, 678,纯乘务时间 597,总接续时间 81,外驻时间 0,总工作时间798
合肥南站567分出乘G7378 →G7305 →G7360 →G7256/7 合肥南站1242分退乘 ,总长度, 675,纯乘务时间 539,总接续时间 136,外驻时间 0,总工作时间795
杭州站690分出乘G7304 →G7164/5 →G7664 →G1326/3 →G7315 杭州站1348分退乘 ,总长度, 658,纯乘务时间 528,总接续时间 130,外驻时间 0,总工作时间778
南京南站310分出乘DJ7699 →G7333 →G7624/1 →G7678/1 →G7242/1 南京南站1009分退乘 ,总长度, 699,纯乘务时间 611,总接续时间 88,外驻时间 0,总工作时间819
杭州东站360分出乘G7341 →G7324 →G7378/1 →G7608/1 →G7613 杭州东站1075分退乘 ,总长度, 715,纯乘务时间 598,总接续时间 117,外驻时间 0,总工作时间835
南京站518分出乘G7105 →G7386/1 →G7386/2 →G7266/3 →G7058 南京站1220分退乘 ,总长度, 702,纯乘务时间 602,总接续时间 100,外驻时间 0,总工作时间822
合肥站688分出乘G7268/1 →G7571 →G7142/1 →G7156/7 合肥站1330分退乘 ,总长度, 642,纯乘务时间 486,总接续时间 156,外驻时间 0,总工作时间762
上海站512分出乘G7084 →D9512 →G7229 →G7052 →G7065 上海站1220分退乘 ,总长度, 708,纯乘务时间 582,总接续时间 126,外驻时间 0,总工作时间828
合肥南站480分出乘G7228/5 →G7044 →G7053 →G7252/3 合肥南站1077分退乘 ,总长度, 597,纯乘务时间 508,总接续时间 89,外驻时间 0,总工作时间717
合肥站577分出乘G7412/1 →G7234 →G7234/1 →G7222/3 合肥站1199分退乘 ,总长度, 622,纯乘务时间 438,总接续时间 184,外驻时间 0,总工作时间742
上海虹桥站385分出乘G9232/3 →G9234/1 →G7114 →G7119 上海虹桥站1105分退乘 ,总长度, 720,纯乘务时间 639,总接续时间 81,外驻时间 0,总工作时间840
上海站605分出乘G7042 →G7053 →G7252/3 →G7254/1 上海站1288分退乘 ,总长度, 683,纯乘务时间 564,总接续时间 119,外驻时间 0,总工作时间803
上海虹桥站665分出乘G7106 →G7053 →G7252/3 →G578/1 →G7555 →G7462/1 上海虹桥站1385分退乘 ,总长度, 720,纯乘务时间 641,总接续时间 79,外驻时间 0,总工作时间840
南京站550分出乘G7107 →G7108 →D5526 →D5538 南京站1210分退乘 ,总长度, 660,纯乘务时间 570,总接续时间 90,外驻时间 0,总工作时间780
上海虹桥站615分出乘G7180 →G7674/2 →G7238/5 →G7056 →G7125 上海虹桥站1311分退乘 ,总长度, 696,纯乘务时间 581,总接续时间 115,外驻时间 0,总工作时间816
上海站640分出乘G7236/7 →G7198/1 →G7198/2 →G7198/3 →G7198/4 →G7118 →G7067 上海站1307分退乘 ,总长度, 667,纯乘务时间 595,总接续时间 72,外驻时间 0,总工作时间787
南京站371分出乘G7101 →G7104 →D5516 →D5528 南京站1073分退乘 ,总长度, 702,纯乘务时间 521,总接续时间 181,外驻时间 0,总工作时间822
南京站569分出乘G7045 →G7244/5 →G9408/5 →G7124 南京站1288分退乘 ,总长度, 719,纯乘务时间 570,总接续时间 149,外驻时间 0,总工作时间839
上海虹桥站440分出乘G7102 →G7109 →G7110 →G7121 上海虹桥站1137分退乘 ,总长度, 697,纯乘务时间 501,总接续时间 196,外驻时间 0,总工作时间817
南京南站710分出乘D5603 →D5606 →G7242/2 →G7068 南京南站1341分退乘 ,总长度, 631,纯乘务时间 507,总接续时间 124,外驻时间 0,总工作时间751
上海站305分出乘DJ7716 →G7393/2 →G7108 →G7057 上海站988分退乘 ,总长度, 683,纯乘务时间 555,总接续时间 128,外驻时间 0,总工作时间803
南京站609分出乘G7047 →G7248/9 →G7250/47 →G7066 南京站1329分退乘 ,总长度, 720,纯乘务时间 617,总接续时间 103,外驻时间 0,总工作时间840
