交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
20,119,C2218,647,688,天津,北京南
20,48,C2047,702,737,北京南,天津
20,43,C2042,756,791,天津,北京南
20,122,C2221,820,861,北京南,天津
21,54,C2054,887,922,天津,北京南
21,67,C2069,945,980,北京南,天津
21,135,C2234,993,1034,天津,北京南
21,134,C2233,1051,1092,北京南,天津
22,126,C2225,912,953,北京南,天津
22,133,C2232,969,1010,天津,北京南
22,132,C2231,1029,1070,北京南,天津
22,162,C2598,1090,1125,天津,北京南
23,103,C2201,392,433,北京南,天津
23,108,C2206,448,489,天津,北京南
23,23,C2019,507,542,北京南,天津
23,151,C2584,563,598,天津,北京南
24,149,C2581,443,478,北京南,天津
24,14,C2010+,491,526,天津,北京南
24,25,C2023,543,578,北京南,天津
24,24,C2022,602,637,天津,北京南
25,6,C2001,361,396,北京南,天津
25,163,C2614,412,447,天津,北京南
25,19,C2015,466,501,北京南,天津
25,18,C2014,518,553,天津,北京南
26,86,C2091,1182,1217,北京南,天津
26,85,C2090,1231,1266,天津,北京南
26,94,C2099,1286,1321,北京南,天津
26,148,C2580,1340,1375,天津,北京南
27,33,C2031,577,612,北京南,天津
27,26,C2024+,629,664,天津,北京南
27,44,C2043,678,713,北京南,天津
27,39,C2038,733,768,天津,北京南
28,137,C2236,1043,1084,天津,北京南
28,138,C2237,1108,1149,北京南,天津
28,77,C2082,1170,1205,天津,北京南
28,158,C2593,1226,1261,北京南,天津
29,106,C2204,420,461,天津,北京南
29,21,C2017,499,534,北京南,天津
29,114,C2212,552,593,天津,北京南
29,152,C2585,627,662,北京南,天津
30,57,C2058+,917,952,天津,北京南
30,156,C2589,979,1014,北京南,天津
30,157,C2590,1038,1073,天津,北京南
30,78,C2083,1094,1129,北京南,天津
31,60,C2061,880,915,北京南,天津
31,131,C2230,939,980,天津,北京南
31,161,C2597,1009,1044,北京南,天津
31,69,C2072+,1081,1116,天津,北京南
32,34,C2032,695,730,天津,北京南
32,118,C2217,752,793,北京南,天津
32,125,C2224,830,871,天津,北京南
32,64,C2065,900,935,北京南,天津
33,124,C2223,842,883,北京南,天津
33,55,C2056,905,940,天津,北京南
33,130,C2229,968,1009,北京南,天津
33,65,C2066,1026,1061,天津,北京南
34,113,C2211,616,657,北京南,天津
34,32,C2030,674,709,天津,北京南
34,116,C2215,726,767,北京南,天津
34,45,C2044+,782,817,天津,北京南
35,10,C2005,387,422,北京南,天津
35,11,C2006,435,470,天津,北京南
35,107,C2205,488,529,北京南,天津
35,20,C2016,547,582,天津,北京南
36,80,C2085,1120,1155,北京南,天津
36,79,C2084,1178,1213,天津,北京南
36,144,C2243,1234,1275,北京南,天津
36,93,C2098,1299,1334,天津,北京南
37,52,C2051,743,778,北京南,天津
37,47,C2046,795,830,天津,北京南
37,58,C2059+,858,893,北京南,天津
37,155,C2588,925,960,天津,北京南
38,59,C2060,931,966,天津,北京南
38,70,C2073,992,1027,北京南,天津
38,139,C2238,1067,1108,天津,北京南
38,82,C2087,1132,1167,北京南,天津
39,62,C2063,889,924,北京南,天津
39,131,C2230,939,980,天津,北京南
39,71,C2075+,1001,1036,北京南,天津
39,68,C2070,1061,1096,天津,北京南
40,145,C2244,1195,1236,天津,北京南
40,146,C2245,1256,1297,北京南,天津
40,95,C2100,1313,1348,天津,北京南
40,99,C2105,1363,1398,北京南,天津
41,38,C2037,640,675,北京南,天津
41,36,C2034,715,750,天津,北京南
41,53,C2053,770,805,北京南,天津
41,49,C2048,818,853,天津,北京南
42,40,C2039,648,683,北京南,天津
42,121,C2220,700,741,天津,北京南
42,120,C2219,780,821,北京南,天津
42,51,C2050,846,881,天津,北京南
