iter,label num,time*10000
1,1446,423.176
2,1603,314.787
3,1858,344.513
4,2066,401.41
5,1990,381.438
6,1947,373.712
7,1963,592.874
8,1562,444.303
9,1659,408.638
10,1259,255.419
11,1268,250.326
12,2128,401.764
13,1396,404.987
14,2107,542.525
15,2362,433.392
16,1509,477.551
17,987,199.935
18,987,348.995
19,987,326.894
20,987,304.498
21,987,247.58
22,987,322.543
23,987,239.772
24,987,187.892
25,987,184.36
26,987,186.493
27,987,187.834
28,987,362.232
29,987,314.616
30,987,203.684
31,987,231.373
32,987,185.235
33,987,183.457
34,987,188.782
35,987,188.484
36,987,188.333
37,987,183.798
38,987,320.919
39,987,183.124
40,987,311.304
41,1343,409.988
42,1343,413.05
43,1264,427.45
44,987,308.728
45,987,189.476
46,987,189.614
47,987,189.118
48,987,275.915
49,987,323.939
50,987,321.669
51,987,321.47
52,987,318.63
53,987,369.25
54,987,360.894
55,987,351.389
56,987,188.111
57,987,343.498
58,987,185.38
