iter,label num,time*10000
1,3152,641.656
2,3128,674.531
3,4059,1023.008
4,4524,1120.493
5,4568,1461.008
6,3700,840.761
7,3031,692.901
8,2824,650.665
9,2640,842.13
10,2644,615.076
11,3341,690.217
12,4716,1239.325
13,3728,778.686
14,5096,1120.562
15,3245,878.049
16,2696,641.26
17,4124,994.411
18,2527,775.631
19,4292,1167.295
20,3252,912.027
21,3245,796.812
22,2521,634.705
23,2967,661.597
24,2481,808.663
25,2585,694.452
26,2568,847.581
27,2568,698.101
28,2566,521.932
29,2566,708.873
30,2566,655.631
31,2566,741.5
32,2566,676.267
33,2566,637.139
34,2566,596.716
35,2566,649.877
36,2566,656.081
37,2566,618.447
38,2566,669.757
39,2566,637.001
40,2566,648.317
41,2566,691.14
42,2566,773.825
43,2566,823.432
44,2566,687.286
45,2566,691.501
46,2566,690.342
47,2566,715.661
48,2566,686.047
49,2566,844.112
50,2566,768.496
51,2566,825.228
52,2566,689.315
53,2566,815.615
54,2566,755.279
55,2566,787.407
56,2566,682.401
57,2566,713.099
58,2566,613.254
59,2566,636.264
60,2566,605.031
61,2566,600.213
62,2566,589.526
63,2566,593.089
64,2566,631.919
65,2566,601.982
66,2566,768.098
67,2566,726.132
68,2566,845.589
69,2566,832.313
70,2566,846.728
71,2566,822.531
72,2566,850.573
73,2566,789.914
74,2566,840.38
75,2566,748.118
76,2566,748.817
77,2566,855.879
78,2566,853.609
79,2566,849.676
80,2566,655.696
81,2566,856.191
82,2566,869.584
83,2566,697.745
84,2566,731.379
85,2566,867.019
86,2566,752.832
87,2566,612.711
88,2566,647.152
89,2566,853.005
90,2566,834.308
91,2566,682.988
92,2566,692.187
93,2566,704.754
94,2566,693.254
95,2566,847.804
96,2566,759.106
97,2566,841.078
98,2566,793.72
99,2566,898.424
100,2566,876.279
101,2566,852.763
102,2566,858.087
103,2566,721.974
104,2566,699.873
105,2566,614.8
106,2566,763.477
107,2566,636.634
108,2566,704.489
109,2566,847.599
110,2566,620.75
111,2566,834.502
112,2566,872.068
113,2566,867.844
114,2566,764.475
115,2566,701.704
116,2566,713.011
117,2566,698.461
118,2566,627.365
119,2566,732.507
120,2566,628.353
121,2566,594.185
122,2566,691.88
123,2566,852.492
124,2566,766.525
125,2566,680.909
126,2566,659.93
127,2566,673.499
128,2566,656.862
129,2566,805.861
130,2566,893.456
131,2566,816.238
132,2566,714.233
133,2566,880.425
134,2566,700.117
135,2566,972.996
136,2566,809.804
137,2566,846.194
138,2566,702.014
139,2638,620.913
140,2638,877.374
141,2638,889.32
142,2638,846.12
143,2766,633.164
144,2725,700.527
145,2556,657.755
146,2556,721.079
147,2556,897.292
148,2556,684.515
149,2556,894.209
150,2556,783.15
151,2556,717.208
152,2556,867.011
153,2556,721.269
154,2556,811.637
155,2087,709.67
156,2314,565.533
157,2326,583.372
158,2236,488.931
