交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,227,DJ7725,287,333,上海,杭州
1,211,G7327,381,406,杭州,诸暨
1,212,G7328,423,448,诸暨,杭州
1,205,G7302,478,543,杭州,上海
1,59,G7202,557,610,上海,无锡
1,60,G7201,630,691,无锡,上海
2,343,D9513,745,782,南京,芜湖
2,344,D9514,805,848,芜湖,南京
2,345,D9515,868,905,南京,芜湖
2,156,G7284/1,938,1083,芜湖,上海
2,36,G7026,1140,1240,上海,南京
3,200,G7417,785,893,合肥,黄山北
3,201,G7418,933,1034,黄山北,合肥
3,317,D5663,1064,1175,合肥,安庆
3,318,D5664,1195,1300,安庆,合肥
4,315,D5659,803,908,合肥,安庆
4,316,D5660,936,1041,安庆,合肥
4,295,D5662,1082,1187,合肥,安庆
4,296,D5665,1225,1331,安庆,合肥
5,241,G7413,470,571,合肥,黄山北
5,242,G7414,593,701,黄山北,合肥
5,335,G9503,747,851,合肥,安庆
5,336,G9504,871,973,安庆,合肥
6,163,G7634/1,759,911,合肥,杭州
6,196,G7360,937,1041,杭州,上海
6,203,G7196/7,1074,1225,上海,合肥
7,297,DJ8698,312,402,合肥,南京
7,125,G7043,491,618,南京,上海
7,153,G7264/5,677,852,上海,合肥
8,44,G7103,439,565,南京,上海
8,206,G7180,615,698,上海,南京
9,243,G7417,785,893,合肥,黄山北
9,244,G7418,933,1034,黄山北,合肥
9,249,G7427,1083,1193,合肥,安庆
9,250,G7428,1219,1315,安庆,合肥
10,158,G7613,982,1075,南京,杭州
10,210,G7314,1142,1203,杭州,上海
10,57,G7098,1265,1378,上海,南京
11,96,G7105,518,644,南京,上海
11,155,G7282/3,693,854,上海,芜湖
11,346,D9516,925,962,芜湖,南京
12,68,G7039,434,554,南京,上海
12,27,G7008,600,699,上海,南京
13,311,DJ8697,300,390,南京,安庆
13,312,D5652,411,522,安庆,合肥
13,313,D5655,542,647,合肥,安庆
13,301,D5604,688,808,安庆,南京
14,222,G7379,667,779,杭州,丽水
14,223,G7380,799,916,丽水,杭州
14,196,G7360,937,1041,杭州,上海
14,197,G7359,1074,1171,上海,杭州
15,178,G7649,927,1105,南京,衢州
15,328,G9314,1182,1269,衢州,杭州
15,272,G7612,1282,1363,杭州,南京
16,28,G7010,660,759,上海,南京
16,177,G7609,833,980,南京,宁波
16,269,G7550,1060,1170,宁波,上海
17,97,G7106,665,778,上海,南京
17,177,G7609,833,980,南京,宁波
17,235,G7522,1035,1166,宁波,上海
18,227,DJ7725,287,333,上海,杭州
18,270,G7556,408,483,杭州,上海
18,51,G7206,505,546,上海,苏州
18,52,G7205,564,603,苏州,上海
19,43,DJ7716,305,408,上海,南京
19,182,G7505,433,650,南京,宁波
19,183,G7510,684,807,宁波,上海
20,14,G7009,660,759,南京,上海
20,16,G7014,780,879,上海,南京
20,18,G7017,900,1000,南京,上海
20,95,G7118,1038,1159,上海,南京
21,14,G7009,660,759,南京,上海
21,16,G7014,780,879,上海,南京
21,18,G7017,900,1000,南京,上海
21,42,G7056,1046,1165,上海,南京
22,175,DJ7699,310,378,南京,上海
22,24,G7002,420,525,上海,南京
22,82,G7045,569,696,南京,上海
22,15,G7012,720,819,上海,南京
23,37,DJ7715,301,388,南京,上海
23,24,G7002,420,525,上海,南京
23,26,G7005,540,639,南京,上海
23,15,G7012,720,819,上海,南京
24,281,D5562/3,331,380,南京,扬州
24,282,D5564/1,405,457,扬州,南京
24,300,D5601,545,665,南京,安庆
24,301,D5604,688,808,安庆,南京
25,56,G7097,1120,1244,南京,上海
25,67,G7030,1260,1379,上海,南京
26,100,G7123,1114,1230,南京,上海
26,67,G7030,1260,1379,上海,南京
27,309,D5607,1010,1136,南京,安庆
27,310,D5610,1156,1270,安庆,南京
28,176,G7604,730,811,杭州,南京
28,302,D5605,828,954,南京,安庆
28,303,D5608,974,1094,安庆,南京
28,167,G7603,1130,1218,南京,杭州
29,253,G7463,1069,1217,杭州,温州南
29,254,G7466,1233,1370,温州南,杭州
30,307,D5603,715,841,南京,安庆
30,308,D5606,860,992,安庆,南京
31,161,G7369,389,472,杭州,丽水
31,162,G7632/3,488,737,丽水,合肥
31,163,G7634/1,759,911,合肥,杭州
32,209,G7311,1047,1119,上海,杭州
32,198,G7352,1200,1291,杭州,上海
33,122,G7031,354,474,南京,上海
33,115,G7036,490,614,上海,南京
33,116,G7111,629,748,南京,上海
33,16,G7014,780,879,上海,南京
34,189,G7308,892,951,杭州,上海
34,99,G7116,974,1095,上海,南京
34,143,G7099,1125,1257,南京,上海
34,192,G7315,1290,1348,上海,杭州
35,204,G7301,395,460,上海,杭州
35,205,G7302,478,543,杭州,上海
35,69,G7040,594,712,上海,南京
35,144,G7229,779,902,南京,上海
36,72,G7121,1015,1137,南京,上海
36,23,G7028,1200,1299,上海,南京
37,74,G7101,371,500,南京,上海
37,75,G7104,534,650,上海,南京
38,220,DJ7731,291,445,杭州,温州南
38,221,G7568,480,637,温州南,杭州
39,194,G7354,604,756,杭州,常州
39,195,G7353,771,914,常州,杭州
40,103,G7120,1089,1209,上海,南京
40,80,G7069,1241,1360,南京,上海
41,79,G7058,1093,1220,上海,南京
41,80,G7069,1241,1360,南京,上海
42,207,G7317/20,694,837,上海,宜兴
42,208,G7319/8,863,1019,宜兴,上海
42,85,G7208,1041,1075,上海,苏州
42,86,G7207,1106,1147,苏州,上海
43,264,G7509,658,773,上海,宁波
43,265,G7514,794,920,宁波,上海
44,247,G7419,990,1111,合肥,黄山北
44,248,G7420,1140,1248,黄山北,合肥
45,249,G7427,1083,1193,合肥,安庆
45,304,D5666,1249,1348,安庆,合肥
46,305,D5653,438,544,合肥,安庆
46,334,G9502,622,725,安庆,合肥
47,236,G7558,426,492,杭州,上海
47,186,G7351,578,667,上海,杭州
48,251,G7461,664,884,上海,温州南
48,252,G7464,904,1047,温州南,杭州
48,219,G7312,1080,1140,杭州,上海
49,341,D9511,620,663,南京,芜湖
49,342,D9512,683,726,芜湖,南京
49,108,G7053,790,915,南京,上海
49,65,G7052,939,1064,上海,南京
50,287,D5516/7,773,912,南京,南通
50,288,D5528/5,936,1073,南通,南京
50,349,D9519,1135,1178,南京,芜湖
50,350,D9520,1200,1237,芜湖,南京
51,289,D5536/7,1093,1241,南京,南通
51,290,D5548/5,1261,1408,南通,南京
52,325,G9311,1128,1266,上海,衢州
52,263,G9312,1286,1407,衢州,上海
53,234,G7517,896,1011,上海,宁波
53,267,G7524,1094,1217,宁波,上海
54,81,G7032,353,474,上海,南京
54,232,G7507,496,728,南京,宁波
54,233,G7512,748,872,宁波,上海
55,333,G9501,490,599,合肥,安庆
55,314,D5656,676,781,安庆,合肥
56,231,DJ7698,306,374,上海,南京
56,46,G7035,391,515,南京,上海
56,47,G7038,545,668,上海,南京
56,48,G7049,700,823,南京,上海
57,58,G7037,400,538,南京,上海
57,107,G7042,605,726,上海,南京
58,53,G7044,646,764,上海,南京
58,98,G7115,810,932,南京,上海
59,38,G7034,414,559,上海,南京
59,13,G7007,600,700,南京,上海
60,257,G7465,1029,1172,杭州,温州南
60,254,G7466,1233,1370,温州南,杭州
61,262,G9311,1128,1266,上海,衢州
61,326,G9312,1286,1407,衢州,上海
62,255,G7467,578,766,杭州,苍南
62,256,G7468,787,983,苍南,杭州
63,213,G7325,510,753,上海,温州南
63,214,G7326,783,985,温州南,上海
64,230,G7566/3,826,1086,合肥,杭州
64,159,G7652/3,1121,1271,杭州,合肥
65,239,G7395/8,447,660,上海,南京
65,29,G7011,720,819,南京,上海
66,293,D5657,680,785,合肥,安庆
66,336,G9504,871,973,安庆,合肥
67,39,G7047,609,727,南京,上海
67,105,G7148/9,815,982,上海,芜湖
67,348,D9518,1060,1103,芜湖,南京
68,34,G7021,1020,1121,南京,上海
68,120,G7066,1208,1329,上海,南京
69,31,G7016,840,941,上海,南京
69,118,G7119,983,1105,南京,上海
70,279,D5532/3,949,1110,南京,南通
70,280,D5544/1,1168,1320,南通,南京
71,285,D5526/7,842,1005,南京,南通
71,286,D5538/5,1055,1210,南通,南京
72,126,G7236/7,640,819,上海,合肥
72,154,G7266/3,872,1046,合肥,上海
73,227,DJ7725,287,333,上海,杭州
73,228,G7361,350,444,杭州,江山
73,229,G7364,459,636,江山,上海
74,152,G7258/5,461,657,合肥,上海
74,61,G7244/5,713,886,上海,合肥
75,129,G7228/5,480,612,合肥,上海
75,126,G7236/7,640,819,上海,合肥
76,237,G7393/2,454,661,南京,上海
76,40,G7048,745,874,上海,南京
77,227,DJ7725,287,333,上海,杭州
77,193,G7358,370,456,杭州,上海
77,268,G7549,490,622,上海,宁波
77,183,G7510,684,807,宁波,上海
78,337,G9505,1005,1118,合肥,安庆
78,318,D5664,1195,1300,安庆,合肥
79,240,G7397/6,1094,1284,南京,上海
79,111,G7096,1310,1410,上海,南京
80,94,G7117,882,1004,南京,上海
80,35,G7024,1080,1185,上海,南京
81,277,D5512/3,555,698,南京,南通
81,278,D5524/1,714,862,南通,南京
82,258,G7503,484,666,上海,台州
82,259,G7542,712,916,台州,上海
83,231,DJ7698,306,374,上海,南京
83,168,G7643,424,653,南京,丽水
83,169,G7348,679,844,丽水,上海
84,319,G9232/3,385,597,上海,铜陵
84,320,G9234/1,615,800,铜陵,上海
85,25,G7003,480,579,南京,上海
85,206,G7180,615,698,上海,南京
85,70,G7051,729,853,南京,上海
85,142,G7100,885,1011,上海,南京
86,298,D5641,420,463,南京,芜湖
86,92,G7150/47,498,664,芜湖,上海
86,93,G7108,700,824,上海,南京
87,76,G7113,665,771,南京,上海
87,117,G7114,847,967,上海,南京
87,347,D9517,995,1038,南京,芜湖
87,146,D5644,1095,1132,芜湖,南京
88,260,G7541,361,550,上海,台州
88,261,G7508,565,747,台州,上海
89,163,G7634/1,759,911,合肥,杭州
89,164,G7656/7,934,1108,杭州,合肥
90,15,G7012,720,819,上海,南京
90,54,G7055,834,951,南京,上海
90,55,G7054,980,1100,上海,南京
90,22,G7025,1140,1239,南京,上海
91,88,G7102,440,565,上海,南京
91,341,D9511,620,663,南京,芜湖
91,342,D9512,683,726,芜湖,南京
91,112,G7127,800,936,南京,上海
92,123,G7232/3,495,725,上海,六安
92,245,G7198/5,793,1032,六安,上海
93,61,G7244/5,713,886,上海,合肥
93,331,G9408/5,913,1064,合肥,上海
94,84,G7057,867,988,南京,上海
94,85,G7208,1041,1075,上海,苏州
94,86,G7207,1106,1147,苏州,上海
94,215,G7126,1230,1353,上海,南京
95,283,D5506/7,480,635,南京,南通
95,284,D5518/5,655,807,南通,南京
96,273,D5502/3,420,573,南京,南通
