交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
54,227,DJ7725,287,333,上海,杭州
54,193,G7358,370,456,杭州,上海
54,268,G7549,490,622,上海,宁波
54,183,G7510,684,807,宁波,上海
55,108,G7053,790,915,南京,上海
55,65,G7052,939,1064,上海,南京
55,349,D9519,1135,1178,南京,芜湖
55,350,D9520,1200,1237,芜湖,南京
56,240,G7397/6,1094,1284,南京,上海
56,111,G7096,1310,1410,上海,南京
57,175,DJ7699,310,378,南京,上海
57,239,G7395/8,447,660,上海,南京
58,163,G7634/1,759,911,合肥,杭州
58,164,G7656/7,934,1108,杭州,合肥
59,44,G7103,439,565,南京,上海
59,107,G7042,605,726,上海,南京
60,298,D5641,420,463,南京,芜湖
60,299,D5642,482,525,芜湖,南京
60,277,D5512/3,555,698,南京,南通
60,278,D5524/1,714,862,南通,南京
61,231,DJ7698,306,374,上海,南京
61,168,G7643,424,653,南京,丽水
61,169,G7348,679,844,丽水,上海
62,279,D5532/3,949,1110,南京,南通
62,280,D5544/1,1168,1320,南通,南京
63,285,D5526/7,842,1005,南京,南通
63,286,D5538/5,1055,1210,南通,南京
64,258,G7503,484,666,上海,台州
64,259,G7542,712,916,台州,上海
65,227,DJ7725,287,333,上海,杭州
65,228,G7361,350,444,杭州,江山
65,229,G7364,459,636,江山,上海
66,319,G9232/3,385,597,上海,铜陵
66,320,G9234/1,615,800,铜陵,上海
67,142,G7100,885,1011,上海,南京
67,21,G7023,1080,1179,南京,上海
68,98,G7115,810,932,南京,上海
68,55,G7054,980,1100,上海,南京
68,349,D9519,1135,1178,南京,芜湖
68,350,D9520,1200,1237,芜湖,南京
69,231,DJ7698,306,374,上海,南京
69,10,G7001,420,520,南京,上海
69,75,G7104,534,650,上海,南京
69,29,G7011,720,819,南京,上海
70,273,D5502/3,420,573,南京,南通
70,284,D5518/5,655,807,南通,南京
71,283,D5506/7,480,635,南京,南通
71,278,D5524/1,714,862,南通,南京
72,119,G7029,336,450,南京,上海
72,11,G7004,480,579,上海,南京
72,13,G7007,600,700,南京,上海
72,15,G7012,720,819,上海,南京
73,123,G7232/3,495,725,上海,六安
73,124,G7234/1,744,970,六安,上海
74,41,G7059,905,1019,南京,上海
74,85,G7208,1041,1075,上海,苏州
74,86,G7207,1106,1147,苏州,上海
74,23,G7028,1200,1299,上海,南京
75,152,G7258/5,461,657,合肥,上海
75,61,G7244/5,713,886,上海,合肥
76,260,G7541,361,550,上海,台州
76,261,G7508,565,747,台州,上海
77,118,G7119,983,1105,南京,上海
77,87,G7062,1172,1293,上海,南京
78,104,G7107,550,678,南京,上海
78,93,G7108,700,824,上海,南京
79,232,G7507,496,728,南京,宁波
79,157,G7608,778,947,宁波,南京
80,138,G7080/1,464,712,上海,安庆
80,139,G7138/5,743,982,安庆,上海
81,133,G7072/3,348,611,上海,安庆
81,134,G7134/1,632,870,安庆,上海
82,216,G7543,427,665,上海,温州南
82,217,G7546,680,930,温州南,上海
83,33,G7019,960,1060,南京,上海
83,238,G7391/4,1098,1304,上海,南京
84,123,G7232/3,495,725,上海,六安
84,202,G7198/5,793,1032,六安,上海
85,90,G7110,766,895,上海,南京
85,78,G7061,947,1070,南京,上海
86,31,G7016,840,941,上海,南京
86,91,G7063,975,1100,南京,上海
86,63,G7204,1132,1188,上海,无锡
86,64,G7203,1212,1273,无锡,上海
87,123,G7232/3,495,725,上海,六安
87,245,G7198/5,793,1032,六安,上海
88,17,G7015,840,940,南京,上海
88,218,G7309,982,1063,上海,杭州
88,210,G7314,1142,1203,杭州,上海
88,45,G7068,1219,1341,上海,南京
89,122,G7031,354,474,南京,上海
89,115,G7036,490,614,上海,南京
89,116,G7111,629,748,南京,上海
89,16,G7014,780,879,上海,南京
90,25,G7003,480,579,南京,上海
90,206,G7180,615,698,上海,南京
90,70,G7051,729,853,南京,上海
90,71,G7050,870,990,上海,南京
91,89,G7109,595,720,南京,上海
91,77,G7112,793,916,上海,南京
91,347,D9517,995,1038,南京,芜湖
91,146,D5644,1095,1132,芜湖,南京
92,339,D9509,495,541,南京,芜湖
92,340,D9510,562,599,芜湖,南京
92,341,D9511,620,663,南京,芜湖
92,342,D9512,683,726,芜湖,南京
92,30,G7013,780,879,南京,上海
92,32,G7018,900,1005,上海,南京
93,88,G7102,440,565,上海,南京
93,89,G7109,595,720,南京,上海
93,188,G7305,810,876,上海,杭州
93,189,G7308,892,951,杭州,上海
94,231,DJ7698,306,374,上海,南京
94,46,G7035,391,515,南京,上海
94,12,G7006,540,639,上海,南京
94,48,G7049,700,823,南京,上海
95,17,G7015,840,940,南京,上海
95,19,G7020,960,1059,上海,南京
95,100,G7123,1114,1230,南京,上海
95,57,G7098,1265,1378,上海,南京
96,158,G7613,982,1075,南京,杭州
96,210,G7314,1142,1203,杭州,上海
96,215,G7126,1230,1353,上海,南京
97,84,G7057,867,988,南京,上海
97,85,G7208,1041,1075,上海,苏州
97,86,G7207,1106,1147,苏州,上海
97,73,G7124,1169,1288,上海,南京
98,216,G7543,427,665,上海,温州南
98,180,G7334,690,908,温州南,上海
99,24,G7002,420,525,上海,南京
99,26,G7005,540,639,南京,上海
99,15,G7012,720,819,上海,南京
99,54,G7055,834,951,南京,上海
