交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,227,DJ7725,287,333,上海,杭州
1,211,G7327,381,406,杭州,诸暨
1,212,G7328,423,448,诸暨,杭州
1,205,G7302,478,543,杭州,上海
1,59,G7202,557,610,上海,无锡
1,60,G7201,630,691,无锡,上海
2,343,D9513,745,782,南京,芜湖
2,344,D9514,805,848,芜湖,南京
2,41,G7059,905,1019,南京,上海
2,42,G7056,1046,1165,上海,南京
3,22,G7025,1140,1239,南京,上海
3,111,G7096,1310,1410,上海,南京
4,119,G7029,336,450,南京,上海
4,11,G7004,480,579,上海,南京
5,236,G7558,426,492,杭州,上海
5,186,G7351,578,667,上海,杭州
6,249,G7427,1083,1193,合肥,安庆
6,296,D5665,1225,1331,安庆,合肥
7,317,D5663,1064,1175,合肥,安庆
7,250,G7428,1219,1315,安庆,合肥
8,295,D5662,1082,1187,合肥,安庆
8,304,D5666,1249,1348,安庆,合肥
9,200,G7417,785,893,合肥,黄山北
9,201,G7418,933,1034,黄山北,合肥
10,297,DJ8698,312,402,合肥,南京
10,298,D5641,420,463,南京,芜湖
10,299,D5642,482,525,芜湖,南京
10,26,G7005,540,639,南京,上海
10,153,G7264/5,677,852,上海,合肥
11,253,G7463,1069,1217,杭州,温州南
11,254,G7466,1233,1370,温州南,杭州
12,40,G7048,745,874,上海,南京
12,18,G7017,900,1000,南京,上海
13,70,G7051,729,853,南京,上海
13,32,G7018,900,1005,上海,南京
14,16,G7014,780,879,上海,南京
14,33,G7019,960,1060,南京,上海
15,56,G7097,1120,1244,南京,上海
15,57,G7098,1265,1378,上海,南京
16,341,D9511,620,663,南京,芜湖
16,342,D9512,683,726,芜湖,南京
16,98,G7115,810,932,南京,上海
16,19,G7020,960,1059,上海,南京
17,189,G7308,892,951,杭州,上海
17,218,G7309,982,1063,上海,杭州
17,210,G7314,1142,1203,杭州,上海
17,192,G7315,1290,1348,上海,杭州
18,21,G7023,1080,1179,南京,上海
18,120,G7066,1208,1329,上海,南京
19,243,G7417,785,893,合肥,黄山北
19,244,G7418,933,1034,黄山北,合肥
20,68,G7039,434,554,南京,上海
20,27,G7008,600,699,上海,南京
21,58,G7037,400,538,南京,上海
21,206,G7180,615,698,上海,南京
22,25,G7003,480,579,南京,上海
22,107,G7042,605,726,上海,南京
23,15,G7012,720,819,上海,南京
23,84,G7057,867,988,南京,上海
24,311,DJ8697,300,390,南京,安庆
24,312,D5652,411,522,安庆,合肥
24,313,D5655,542,647,合肥,安庆
24,301,D5604,688,808,安庆,南京
25,178,G7649,927,1105,南京,衢州
25,328,G9314,1182,1269,衢州,杭州
25,272,G7612,1282,1363,杭州,南京
26,122,G7031,354,474,南京,上海
26,51,G7206,505,546,上海,苏州
26,52,G7205,564,603,苏州,上海
26,53,G7044,646,764,上海,南京
27,70,G7051,729,853,南京,上海
27,170,G7347,870,980,上海,金华南
27,171,G7644,1013,1161,金华南,南京
28,220,DJ7731,291,445,杭州,温州南
28,221,G7568,480,637,温州南,杭州
29,345,D9515,868,905,南京,芜湖
29,156,G7284/1,938,1083,芜湖,上海
29,87,G7062,1172,1293,上海,南京
30,79,G7058,1093,1220,上海,南京
30,80,G7069,1241,1360,南京,上海
31,24,G7002,420,525,上海,南京
31,82,G7045,569,696,南京,上海
32,143,G7099,1125,1257,南京,上海
32,111,G7096,1310,1410,上海,南京
33,227,DJ7725,287,333,上海,杭州
33,270,G7556,408,483,杭州,上海
33,75,G7104,534,650,上海,南京
33,76,G7113,665,771,南京,上海
34,302,D5605,828,954,南京,安庆
34,303,D5608,974,1094,安庆,南京
35,262,G9311,1128,1266,上海,衢州
35,263,G9312,1286,1407,衢州,上海
36,234,G7517,896,1011,上海,宁波
36,235,G7522,1035,1166,宁波,上海
37,90,G7110,766,895,上海,南京
37,78,G7061,947,1070,南京,上海
38,305,D5653,438,544,合肥,安庆
38,334,G9502,622,725,安庆,合肥
39,281,D5562/3,331,380,南京,扬州
39,282,D5564/1,405,457,扬州,南京
39,96,G7105,518,644,南京,上海
39,97,G7106,665,778,上海,南京
40,100,G7123,1114,1230,南京,上海
40,67,G7030,1260,1379,上海,南京
41,103,G7120,1089,1209,上海,南京
41,80,G7069,1241,1360,南京,上海
42,30,G7013,780,879,南京,上海
42,65,G7052,939,1064,上海,南京
43,35,G7024,1080,1185,上海,南京
43,80,G7069,1241,1360,南京,上海
44,48,G7049,700,823,南京,上海
44,117,G7114,847,967,上海,南京
44,347,D9517,995,1038,南京,芜湖
44,146,D5644,1095,1132,芜湖,南京
45,155,G7282/3,693,854,上海,芜湖
45,346,D9516,925,962,芜湖,南京
45,91,G7063,975,1100,南京,上海
46,43,DJ7716,305,408,上海,南京
46,182,G7505,433,650,南京,宁波
46,183,G7510,684,807,宁波,上海
47,226,G7341,360,549,杭州,苍南
47,181,G7624,593,769,苍南,杭州
48,268,G7549,490,622,上海,宁波
48,183,G7510,684,807,宁波,上海
49,118,G7119,983,1105,南京,上海
49,73,G7124,1169,1288,上海,南京
50,17,G7015,840,940,南京,上海
50,132,G7064,975,1100,上海,南京
51,83,G7046,740,852,上海,南京
51,345,D9515,868,905,南京,芜湖
51,346,D9516,925,962,芜湖,南京
51,34,G7021,1020,1121,南京,上海
52,93,G7108,700,824,上海,南京
52,17,G7015,840,940,南京,上海
52,218,G7309,982,1063,上海,杭州
52,219,G7312,1080,1140,杭州,上海
53,43,DJ7716,305,408,上海,南京
53,44,G7103,439,565,南京,上海
53,186,G7351,578,667,上海,杭州
53,187,G7304,690,759,杭州,上海
54,71,G7050,870,990,上海,南京
54,72,G7121,1015,1137,南京,上海
55,307,D5603,715,841,南京,安庆
55,308,D5606,860,992,安庆,南京
56,325,G9311,1128,1266,上海,衢州
56,326,G9312,1286,1407,衢州,上海
57,335,G9503,747,851,合肥,安庆
57,316,D5660,936,1041,安庆,合肥
58,66,G7065,1092,1220,南京,上海
58,174,G7070,1240,1360,上海,南京
59,176,G7604,730,811,杭州,南京
59,94,G7117,882,1004,南京,上海
59,209,G7311,1047,1119,上海,杭州
60,166,G7345,780,942,杭州,苍南
60,271,G7538,1004,1223,苍南,杭州
61,240,G7397/6,1094,1284,南京,上海
61,111,G7096,1310,1410,上海,南京
62,21,G7023,1080,1179,南京,上海
62,215,G7126,1230,1353,上海,南京
63,112,G7127,800,936,南京,上海
63,55,G7054,980,1100,上海,南京
64,81,G7032,353,474,上海,南京
64,104,G7107,550,678,南京,上海
65,231,DJ7698,306,374,上海,南京
65,168,G7643,424,653,南京,丽水
65,169,G7348,679,844,丽水,上海
66,287,D5516/7,773,912,南京,南通
66,288,D5528/5,936,1073,南通,南京
67,61,G7244/5,713,886,上海,合肥
67,331,G9408/5,913,1064,合肥,上海
68,207,G7317/20,694,837,上海,宜兴
68,208,G7319/8,863,1019,宜兴,上海
69,163,G7634/1,759,911,合肥,杭州
69,164,G7656/7,934,1108,杭州,合肥
70,129,G7228/5,480,612,合肥,上海
70,126,G7236/7,640,819,上海,合肥
71,231,DJ7698,306,374,上海,南京
71,237,G7393/2,454,661,南京,上海
72,125,G7043,491,618,南京,上海
72,28,G7010,660,759,上海,南京
73,70,G7051,729,853,南京,上海
73,142,G7100,885,1011,上海,南京
74,339,D9509,495,541,南京,芜湖
74,340,D9510,562,599,芜湖,南京
74,116,G7111,629,748,南京,上海
74,77,G7112,793,916,上海,南京
75,204,G7301,395,460,上海,杭州
75,205,G7302,478,543,杭州,上海
75,69,G7040,594,712,上海,南京
75,108,G7053,790,915,南京,上海
76,289,D5536/7,1093,1241,南京,南通
76,290,D5548/5,1261,1408,南通,南京
77,227,DJ7725,287,333,上海,杭州
77,228,G7361,350,444,杭州,江山
77,229,G7364,459,636,江山,上海
78,145,G7218/9,929,1073,上海,芜湖
78,114,G7220/17,1158,1324,芜湖,上海
79,175,DJ7699,310,378,南京,上海
79,239,G7395/8,447,660,上海,南京
80,231,DJ7698,306,374,上海,南京
80,298,D5641,420,463,南京,芜湖
80,92,G7150/47,498,664,芜湖,上海
81,152,G7258/5,461,657,合肥,上海
81,153,G7264/5,677,852,上海,合肥
82,39,G7047,609,727,南京,上海
82,188,G7305,810,876,上海,杭州
82,189,G7308,892,951,杭州,上海
82,20,G7022,1020,1121,上海,南京
83,333,G9501,490,599,合肥,安庆
83,314,D5656,676,781,安庆,合肥
84,283,D5506/7,480,635,南京,南通
84,284,D5518/5,655,807,南通,南京
85,260,G7541,361,550,上海,台州
85,261,G7508,565,747,台州,上海
86,61,G7244/5,713,886,上海,合肥
86,62,G7246/3,918,1111,合肥,上海
87,275,D5522/3,800,952,南京,南通
87,276,D5534/1,972,1121,南通,南京
88,105,G7148/9,815,982,上海,芜湖
88,106,G7288/5,1017,1207,芜湖,上海
89,37,DJ7715,301,388,南京,上海
89,24,G7002,420,525,上海,南京
89,300,D5601,545,665,南京,安庆
89,301,D5604,688,808,安庆,南京
90,144,G7229,779,902,南京,上海
90,99,G7116,974,1095,上海,南京
91,279,D5532/3,949,1110,南京,南通
91,280,D5544/1,1168,1320,南通,南京
92,273,D5502/3,420,573,南京,南通
92,274,D5514/1,600,764,南通,南京
93,29,G7011,720,819,南京,上海
93,31,G7016,840,941,上海,南京
93,347,D9517,995,1038,南京,芜湖
93,348,D9518,1060,1103,芜湖,南京
94,38,G7034,414,559,上海,南京
94,13,G7007,600,700,南京,上海
95,227,DJ7725,287,333,上海,杭州
95,193,G7358,370,456,杭州,上海
95,115,G7036,490,614,上海,南京
95,14,G7009,660,759,南京,上海
96,172,G7248/9,794,979,上海,合肥
96,173,G7250/47,997,1190,合肥,上海
97,319,G9232/3,385,597,上海,铜陵
97,320,G9234/1,615,800,铜陵,上海
98,54,G7055,834,951,南京,上海
98,95,G7118,1038,1159,上海,南京
99,150,G7164/5,787,965,上海,合肥
99,151,G7166/3,1038,1225,合肥,上海
100,88,G7102,440,565,上海,南京
100,89,G7109,595,720,南京,上海
101,177,G7609,833,980,南京,宁波
101,121,G7584,1013,1281,宁波,南京
102,29,G7011,720,819,南京,上海
102,184,G7515,840,955,上海,宁波
102,185,G7520,976,1240,宁波,南京
103,158,G7613,982,1075,南京,杭州
103,210,G7314,1142,1203,杭州,上海
103,45,G7068,1219,1341,上海,南京
104,216,G7543,427,665,上海,温州南
104,180,G7334,690,908,温州南,上海
105,136,G7088/9,774,1014,上海,安庆
105,137,G7090/87,1034,1268,安庆,上海
106,123,G7232/3,495,725,上海,六安
106,202,G7198/5,793,1032,六安,上海
107,133,G7072/3,348,611,上海,安庆
107,134,G7134/1,632,870,安庆,上海
108,216,G7543,427,665,上海,温州南
