交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,297,DJ8698,312,402,合肥,南京
1,298,D5641,420,463,南京,芜湖
1,299,D5642,482,525,芜湖,南京
1,26,G7005,540,639,南京,上海
1,153,G7264/5,677,852,上海,合肥
2,122,G7031,354,474,南京,上海
2,115,G7036,490,614,上海,南京
2,116,G7111,629,748,南京,上海
2,16,G7014,780,879,上海,南京
3,311,DJ8697,300,390,南京,安庆
3,312,D5652,411,522,安庆,合肥
3,313,D5655,542,647,合肥,安庆
3,301,D5604,688,808,安庆,南京
4,175,DJ7699,310,378,南京,上海
4,24,G7002,420,525,上海,南京
4,300,D5601,545,665,南京,安庆
4,301,D5604,688,808,安庆,南京
5,21,G7023,1080,1179,南京,上海
5,120,G7066,1208,1329,上海,南京
6,100,G7123,1114,1230,南京,上海
6,57,G7098,1265,1378,上海,南京
7,243,G7417,785,893,合肥,黄山北
7,244,G7418,933,1034,黄山北,合肥
7,317,D5663,1064,1175,合肥,安庆
7,250,G7428,1219,1315,安庆,合肥
8,29,G7011,720,819,南京,上海
8,170,G7347,870,980,上海,金华南
8,171,G7644,1013,1161,金华南,南京
9,281,D5562/3,331,380,南京,扬州
9,282,D5564/1,405,457,扬州,南京
9,96,G7105,518,644,南京,上海
9,93,G7108,700,824,上海,南京
10,222,G7379,667,779,杭州,丽水
10,223,G7380,799,916,丽水,杭州
10,196,G7360,937,1041,杭州,上海
10,197,G7359,1074,1171,上海,杭州
11,78,G7061,947,1070,南京,上海
11,63,G7204,1132,1188,上海,无锡
11,64,G7203,1212,1273,无锡,上海
11,111,G7096,1310,1410,上海,南京
12,241,G7413,470,571,合肥,黄山北
12,242,G7414,593,701,黄山北,合肥
12,335,G9503,747,851,合肥,安庆
12,336,G9504,871,973,安庆,合肥
13,315,D5659,803,908,合肥,安庆
13,316,D5660,936,1041,安庆,合肥
13,295,D5662,1082,1187,合肥,安庆
13,296,D5665,1225,1331,安庆,合肥
14,200,G7417,785,893,合肥,黄山北
14,201,G7418,933,1034,黄山北,合肥
14,317,D5663,1064,1175,合肥,安庆
14,318,D5664,1195,1300,安庆,合肥
15,211,G7327,381,406,杭州,诸暨
15,212,G7328,423,448,诸暨,杭州
15,205,G7302,478,543,杭州,上海
15,186,G7351,578,667,上海,杭州
16,178,G7649,927,1105,南京,衢州
16,328,G9314,1182,1269,衢州,杭州
16,272,G7612,1282,1363,杭州,南京
17,48,G7049,700,823,南京,上海
17,184,G7515,840,955,上海,宁波
17,185,G7520,976,1240,宁波,南京
18,161,G7369,389,472,杭州,丽水
18,162,G7632/3,488,737,丽水,合肥
18,163,G7634/1,759,911,合肥,杭州
19,81,G7032,353,474,上海,南京
19,232,G7507,496,728,南京,宁波
19,233,G7512,748,872,宁波,上海
20,257,G7465,1029,1172,杭州,温州南
20,254,G7466,1233,1370,温州南,杭州
21,253,G7463,1069,1217,杭州,温州南
21,254,G7466,1233,1370,温州南,杭州
22,10,G7001,420,520,南京,上海
22,47,G7038,545,668,上海,南京
