交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,227,DJ7725,287,333,上海,杭州
1,211,G7327,381,406,杭州,诸暨
1,212,G7328,423,448,诸暨,杭州
1,205,G7302,478,543,杭州,上海
1,186,G7351,578,667,上海,杭州
1,187,G7304,690,759,杭州,上海
2,311,DJ8697,300,390,南京,安庆
2,312,D5652,411,522,安庆,合肥
2,313,D5655,542,647,合肥,安庆
2,301,D5604,688,808,安庆,南京
3,175,DJ7699,310,378,南京,上海
3,24,G7002,420,525,上海,南京
3,300,D5601,545,665,南京,安庆
3,301,D5604,688,808,安庆,南京
4,108,G7053,790,915,南京,上海
4,145,G7218/9,929,1073,上海,芜湖
4,146,D5644,1095,1132,芜湖,南京
5,305,D5653,438,544,合肥,安庆
5,306,D5602,577,697,安庆,南京
5,307,D5603,715,841,南京,安庆
5,336,G9504,871,973,安庆,合肥
6,291,D5651,411,517,合肥,安庆
6,292,D5654,537,648,安庆,合肥
6,293,D5657,680,785,合肥,安庆
6,294,D5658,811,916,安庆,合肥
7,313,D5655,542,647,合肥,安庆
7,314,D5656,676,781,安庆,合肥
7,315,D5659,803,908,合肥,安庆
7,316,D5660,936,1041,安庆,合肥
8,222,G7379,667,779,杭州,丽水
8,223,G7380,799,916,丽水,杭州
8,196,G7360,937,1041,杭州,上海
8,197,G7359,1074,1171,上海,杭州
9,207,G7317/20,694,837,上海,宜兴
9,208,G7319/8,863,1019,宜兴,上海
9,85,G7208,1041,1075,上海,苏州
9,86,G7207,1106,1147,苏州,上海
10,298,D5641,420,463,南京,芜湖
10,299,D5642,482,525,芜湖,南京
10,26,G7005,540,639,南京,上海
10,28,G7010,660,759,上海,南京
11,22,G7025,1140,1239,南京,上海
11,111,G7096,1310,1410,上海,南京
12,163,G7634/1,759,911,合肥,杭州
12,196,G7360,937,1041,杭州,上海
12,203,G7196/7,1074,1225,上海,合肥
13,241,G7413,470,571,合肥,黄山北
13,242,G7414,593,701,黄山北,合肥
13,335,G9503,747,851,合肥,安庆
13,336,G9504,871,973,安庆,合肥
14,333,G9501,490,599,合肥,安庆
14,334,G9502,622,725,安庆,合肥
14,335,G9503,747,851,合肥,安庆
14,336,G9504,871,973,安庆,合肥
15,176,G7604,730,811,杭州,南京
15,17,G7015,840,940,南京,上海
15,218,G7309,982,1063,上海,杭州
15,327,G9313,1085,1160,杭州,衢州
15,328,G9314,1182,1269,衢州,杭州
16,315,D5659,803,908,合肥,安庆
16,316,D5660,936,1041,安庆,合肥
16,295,D5662,1082,1187,合肥,安庆
16,296,D5665,1225,1331,安庆,合肥
17,264,G7509,658,773,上海,宁波
17,265,G7514,794,920,宁波,上海
17,65,G7052,939,1064,上海,南京
17,21,G7023,1080,1179,南京,上海
18,189,G7308,892,951,杭州,上海
18,132,G7064,975,1100,上海,南京
18,143,G7099,1125,1257,南京,上海
18,192,G7315,1290,1348,上海,杭州
19,189,G7308,892,951,杭州,上海
19,190,G7365,967,1105,上海,江山
19,191,G7366,1126,1270,江山,上海
19,192,G7315,1290,1348,上海,杭州
20,227,DJ7725,287,333,上海,杭州
20,270,G7556,408,483,杭州,上海
20,51,G7206,505,546,上海,苏州
20,52,G7205,564,603,苏州,上海
21,200,G7417,785,893,合肥,黄山北
21,201,G7418,933,1034,黄山北,合肥
21,249,G7427,1083,1193,合肥,安庆
21,250,G7428,1219,1315,安庆,合肥
22,232,G7507,496,728,南京,宁波
22,233,G7512,748,872,宁波,上海
22,142,G7100,885,1011,上海,南京
23,43,DJ7716,305,408,上海,南京
23,182,G7505,433,650,南京,宁波
23,183,G7510,684,807,宁波,上海
24,243,G7417,785,893,合肥,黄山北
24,244,G7418,933,1034,黄山北,合肥
24,317,D5663,1064,1175,合肥,安庆
24,318,D5664,1195,1300,安庆,合肥
25,13,G7007,600,700,南京,上海
25,40,G7048,745,874,上海,南京
25,18,G7017,900,1000,南京,上海
25,20,G7022,1020,1121,上海,南京
26,347,D9517,995,1038,南京,芜湖
26,348,D9518,1060,1103,芜湖,南京
26,56,G7097,1120,1244,南京,上海
26,67,G7030,1260,1379,上海,南京
27,10,G7001,420,520,南京,上海
27,47,G7038,545,668,上海,南京
27,48,G7049,700,823,南京,上海
27,31,G7016,840,941,上海,南京
28,122,G7031,354,474,南京,上海
28,115,G7036,490,614,上海,南京
28,116,G7111,629,748,南京,上海
28,16,G7014,780,879,上海,南京
29,251,G7461,664,884,上海,温州南
29,252,G7464,904,1047,温州南,杭州
29,219,G7312,1080,1140,杭州,上海
30,309,D5607,1010,1136,南京,安庆
30,310,D5610,1156,1270,安庆,南京
31,220,DJ7731,291,445,杭州,温州南
31,221,G7568,480,637,温州南,杭州
32,70,G7051,729,853,南京,上海
32,170,G7347,870,980,上海,金华南
32,171,G7644,1013,1161,金华南,南京
33,123,G7232/3,495,725,上海,六安
33,202,G7198/5,793,1032,六安,上海
34,266,G7519,952,1075,上海,宁波
34,267,G7524,1094,1217,宁波,上海
35,281,D5562/3,331,380,南京,扬州
35,282,D5564/1,405,457,扬州,南京
35,283,D5506/7,480,635,南京,南通
35,284,D5518/5,655,807,南通,南京
36,227,DJ7725,287,333,上海,杭州
36,228,G7361,350,444,杭州,江山
36,229,G7364,459,636,江山,上海
37,194,G7354,604,756,杭州,常州
37,195,G7353,771,914,常州,杭州
38,226,G7341,360,549,杭州,苍南
38,181,G7624,593,769,苍南,杭州
39,345,D9515,868,905,南京,芜湖
39,156,G7284/1,938,1083,芜湖,上海
39,87,G7062,1172,1293,上海,南京
40,58,G7037,400,538,南京,上海
40,59,G7202,557,610,上海,无锡
40,60,G7201,630,691,无锡,上海
40,90,G7110,766,895,上海,南京
41,236,G7558,426,492,杭州,上海
41,186,G7351,578,667,上海,杭州
42,247,G7419,990,1111,合肥,黄山北
42,248,G7420,1140,1248,黄山北,合肥
43,295,D5662,1082,1187,合肥,安庆
43,304,D5666,1249,1348,安庆,合肥
44,262,G9311,1128,1266,上海,衢州
44,263,G9312,1286,1407,衢州,上海
45,257,G7465,1029,1172,杭州,温州南
45,254,G7466,1233,1370,温州南,杭州
46,253,G7463,1069,1217,杭州,温州南
46,254,G7466,1233,1370,温州南,杭州
47,273,D5502/3,420,573,南京,南通
47,274,D5514/1,600,764,南通,南京
48,287,D5516/7,773,912,南京,南通
48,288,D5528/5,936,1073,南通,南京
48,349,D9519,1135,1178,南京,芜湖
48,350,D9520,1200,1237,芜湖,南京
49,147,G7132/3,581,813,上海,安庆
49,308,D5606,860,992,安庆,南京
49,34,G7021,1020,1121,南京,上海
50,66,G7065,1092,1220,南京,上海
50,174,G7070,1240,1360,上海,南京
51,337,G9505,1005,1118,合肥,安庆
51,318,D5664,1195,1300,安庆,合肥
52,237,G7393/2,454,661,南京,上海
52,155,G7282/3,693,854,上海,芜湖
52,346,D9516,925,962,芜湖,南京
53,260,G7541,361,550,上海,台州
53,261,G7508,565,747,台州,上海
54,161,G7369,389,472,杭州,丽水
54,162,G7632/3,488,737,丽水,合肥
54,163,G7634/1,759,911,合肥,杭州
55,164,G7656/7,934,1108,杭州,合肥
55,160,G7658/5,1128,1302,合肥,杭州
56,88,G7102,440,565,上海,南京
56,89,G7109,595,720,南京,上海
57,96,G7105,518,644,南京,上海
57,97,G7106,665,778,上海,南京
58,68,G7039,434,554,南京,上海
58,69,G7040,594,712,上海,南京
58,343,D9513,745,782,南京,芜湖
58,344,D9514,805,848,芜湖,南京
59,79,G7058,1093,1220,上海,南京
59,80,G7069,1241,1360,南京,上海
60,41,G7059,905,1019,南京,上海
60,95,G7118,1038,1159,上海,南京
61,154,G7266/3,872,1046,合肥,上海
61,246,G7196/7,1074,1225,上海,合肥
62,230,G7566/3,826,1086,合肥,杭州
62,159,G7652/3,1121,1271,杭州,合肥
63,325,G9311,1128,1266,上海,衢州
63,326,G9312,1286,1407,衢州,上海
64,277,D5512/3,555,698,南京,南通
64,278,D5524/1,714,862,南通,南京
65,289,D5536/7,1093,1241,南京,南通
65,290,D5548/5,1261,1408,南通,南京
66,209,G7311,1047,1119,上海,杭州
66,198,G7352,1200,1291,杭州,上海
67,129,G7228/5,480,612,合肥,上海
67,126,G7236/7,640,819,上海,合肥
68,78,G7061,947,1070,南京,上海
68,103,G7120,1089,1209,上海,南京
69,125,G7043,491,618,南京,上海
69,53,G7044,646,764,上海,南京
70,353,D9526/7,1037,1186,南京,南通
70,354,D9528/5,1209,1357,南通,南京
71,38,G7034,414,559,上海,南京
71,341,D9511,620,663,南京,芜湖
71,342,D9512,683,726,芜湖,南京
71,144,G7229,779,902,南京,上海
72,166,G7345,780,942,杭州,苍南
72,271,G7538,1004,1223,苍南,杭州
73,331,G9408/5,913,1064,合肥,上海
73,332,G9406/7,1089,1276,上海,合肥
74,152,G7258/5,461,657,合肥,上海
74,61,G7244/5,713,886,上海,合肥
75,29,G7011,720,819,南京,上海
75,117,G7114,847,967,上海,南京
75,118,G7119,983,1105,南京,上海
75,36,G7026,1140,1240,上海,南京
76,204,G7301,395,460,上海,杭州
76,205,G7302,478,543,杭州,上海
76,107,G7042,605,726,上海,南京
76,98,G7115,810,932,南京,上海
77,275,D5522/3,800,952,南京,南通
77,276,D5534/1,972,1121,南通,南京
78,113,G7152/3,952,1124,上海,芜湖
78,114,G7220/17,1158,1324,芜湖,上海
79,109,G7252/3,944,1077,上海,合肥
79,110,G7254/1,1103,1288,合肥,上海
80,231,DJ7698,306,374,上海,南京
80,168,G7643,424,653,南京,丽水
80,169,G7348,679,844,丽水,上海
81,127,G7238/5,840,1031,合肥,上海
81,128,G7256/7,1053,1242,上海,合肥
82,30,G7013,780,879,南京,上海
82,234,G7517,896,1011,上海,宁波
82,235,G7522,1035,1166,宁波,上海
82,23,G7028,1200,1299,上海,南京
83,279,D5532/3,949,1110,南京,南通
83,280,D5544/1,1168,1320,南通,南京
84,285,D5526/7,842,1005,南京,南通
84,286,D5538/5,1055,1210,南通,南京
85,329,G9402/3,831,1027,上海,合肥
85,330,G9404/1,1066,1236,合肥,上海
86,77,G7112,793,916,上海,南京
86,91,G7063,975,1100,南京,上海
86,63,G7204,1132,1188,上海,无锡
86,64,G7203,1212,1273,无锡,上海
87,112,G7127,800,936,南京,上海
87,19,G7020,960,1059,上海,南京
87,21,G7023,1080,1179,南京,上海
87,120,G7066,1208,1329,上海,南京
88,61,G7244/5,713,886,上海,合肥
88,62,G7246/3,918,1111,合肥,上海
89,49,G7276/7/6,852,1079,上海,淮南东
89,50,G7275/8/5,1128,1318,淮南东,上海
90,72,G7121,1015,1137,南京,上海
90,73,G7124,1169,1288,上海,南京
