第211个节点
UB = 338400, LB = 338400, GAP = 0
杭州东站509分出乘G7625/1 →G164/1 →G7378/4 →G7696 →G9313 →G1364/2 杭州东站1281分退乘 ,总长度, 772,纯乘务时间 451,总接续时间 321,外驻时间 0,总工作时间892
杭州东站350分出乘G7361 →G46 →G7632/1 →G7127 →G7519 →G7550/4 杭州东站1101分退乘 ,总长度, 751,纯乘务时间 555,总接续时间 196,外驻时间 0,总工作时间871
上海虹桥站670分出乘G7572/3 →G7586/4 →G7082/2 →G7374/2 →G7374/3 →G1660/3 上海虹桥站1398分退乘 ,总长度, 728,纯乘务时间 288,总接续时间 440,外驻时间 0,总工作时间848
合肥南站435分出乘G9312/1 →G7162 →G7162/1 →D5603 →G7092/3 →D5662 合肥南站1179分退乘 ,总长度, 744,纯乘务时间 350,总接续时间 394,外驻时间 0,总工作时间864
杭州东站426分出乘DJ7698 →G7325 →G7581/2 →G7508/1 →G1329 →G2344/8 杭州东站1176分退乘 ,总长度, 750,纯乘务时间 410,总接续时间 340,外驻时间 0,总工作时间870
上海虹桥站745分出乘G1633 →G7365/1 →G7366 →G7528/2 上海虹桥站1351分退乘 ,总长度, 606,纯乘务时间 282,总接续时间 324,外驻时间 0,总工作时间726
杭州东站567分出乘G54/4 →G7678/1 →G7680 →G7646/3 →G53/2 杭州东站1264分退乘 ,总长度, 697,纯乘务时间 390,总接续时间 307,外驻时间 0,总工作时间817
合肥南站744分出乘G7406/1 →G7405 →D2101/2 →G7408/1 →G271/2 合肥南站1409分退乘 ,总长度, 665,纯乘务时间 278,总接续时间 387,外驻时间 0,总工作时间785
合肥南站785分出乘G7417 →G7418 →G7423 →G7422 合肥南站1359分退乘 ,总长度, 574,纯乘务时间 397,总接续时间 177,外驻时间 0,总工作时间694
南京站518分出乘G7105 →G7305 →G7360 →G7026 南京站1240分退乘 ,总长度, 722,纯乘务时间 396,总接续时间 326,外驻时间 0,总工作时间842
杭州东站578分出乘G7467 →G7349/2 →G7594/7 →G7596 →G9516 杭州东站1231分退乘 ,总长度, 653,纯乘务时间 331,总接续时间 322,外驻时间 0,总工作时间773
杭州东站667分出乘G7379 →G7619/5 →G7464 →G7463/1 →G7466 →G7342/1 杭州东站1393分退乘 ,总长度, 726,纯乘务时间 483,总接续时间 243,外驻时间 0,总工作时间846
杭州东站360分出乘G7341 →G7325/4 →G7600 →G7550/3 →G7550/4 杭州东站1101分退乘 ,总长度, 741,纯乘务时间 307,总接续时间 434,外驻时间 0,总工作时间861
杭州东站589分出乘G1509/1 →G1507/1 →G7585/1 →G7534/1 杭州东站1347分退乘 ,总长度, 758,纯乘务时间 320,总接续时间 438,外驻时间 0,总工作时间878
杭州东站780分出乘G7345 →G7594/7 →G7537/3 →G7538 →G7545/2 →G7466 →G7342/1 杭州东站1393分退乘 ,总长度, 613,纯乘务时间 427,总接续时间 186,外驻时间 0,总工作时间733
杭州东站734分出乘G7698/3 →G7619/4 →G7335/2 →G7538 →G7545/6 →G7466 →G7342/1 杭州东站1393分退乘 ,总长度, 659,纯乘务时间 431,总接续时间 228,外驻时间 0,总工作时间779
南京南站572分出乘G7599/1 →G7599/2 →G412 →G7146/1 →G7207 →G7286 南京南站1347分退乘 ,总长度, 775,纯乘务时间 412,总接续时间 363,外驻时间 0,总工作时间895
杭州东站739分出乘G7619/3 →G7335/1 →G7465/1 →G7462 →G7466/1 杭州东站1365分退乘 ,总长度, 626,纯乘务时间 281,总接续时间 345,外驻时间 0,总工作时间746
杭州东站897分出乘G7692/1 →G7685/1 →G7664/2 →G7534 →G7534/1 杭州东站1347分退乘 ,总长度, 450,纯乘务时间 270,总接续时间 180,外驻时间 0,总工作时间570
上海虹桥站516分出乘G360 →G7221/1 →G7585 →G7388/3 →G7338/1 上海虹桥站1288分退乘 ,总长度, 772,纯乘务时间 402,总接续时间 370,外驻时间 0,总工作时间892
