iter,label num,time*10000
1,19832,15709.002
2,19122,5622.587
3,19231,9554.706
4,18171,6228.128
5,17970,5222.221
6,17310,7915.698
7,19611,8280.486
8,19482,7468.878
9,20283,12043.301
10,19717,7680.706
11,17041,5639.513
12,17042,10592.609
13,21221,7808.877
14,16546,5494.454
15,19249,10982.384
16,24355,7235.93
17,25187,9489.652
18,23422,13558.08
19,26469,9481.544
20,29218,14777.424
21,28767,10630.017
22,29464,10346.456
23,31705,15619.94
24,32249,10672.784
25,31477,15405.573
26,35114,12419.276
27,32706,16698.454
28,39137,14458.288
29,37098,16293.298
30,36103,12025.135
31,35561,16012.952
32,38163,13564.726
33,37989,17695.446
34,31991,12338.814
35,33312,15382.224
36,36431,12264.04
37,35940,16607.661
38,38831,13521.292
39,39831,18152.721
40,39199,14104.639
41,38855,17099.463
42,38584,13758.435
43,35862,16524.471
44,36214,12421.367
45,28859,14393.084
46,27685,9941.676
47,14474,9509.318
48,14427,5419.671
49,14427,4630.749
50,14427,7340.309
51,14427,5806.496
52,14427,5862.531
53,14427,7963.968
54,14427,5805.367
55,14427,5762.403
56,14427,6858.223
57,14427,5806.923
58,14427,5847.778
59,14427,7809.1
60,14427,5829.442
61,14427,5923.224
62,14427,7755.3
63,14427,5849.566
64,14427,5886.068
65,14427,7625.675
66,14427,5831.742
67,14427,5834.167
68,14427,7549.036
69,14427,5808.202
70,14427,5770.216
71,14427,7861.09
72,14427,5826.53
73,14427,5746.945
74,14427,7150.696
75,14427,5817.028
76,14427,5977.16
77,14427,7670.627
78,14427,5759.991
79,14427,7185.77
80,14427,5809.955
81,14427,6116.548
82,14427,7717.828
83,14427,6414.106
84,14427,6401.388
85,14427,8712.882
86,14427,6602.88
87,14427,6391.356
88,14427,8496.518
89,14427,6036.69
90,14427,5794.757
91,14427,7464.657
92,14427,5774.394
93,14427,5821.116
94,14427,7685.333
95,14427,5853.089
96,14427,5851.554
97,14427,11943.746
98,14427,5755.796
99,14427,4582.803
100,14427,7427.689
101,14427,5490.713
102,14427,6283.523
103,14427,5845.285
104,14427,5968.005
105,14427,7787.338
106,14427,4750.287
107,14427,6760.695
108,14427,5855.364
109,14427,6655.354
110,14427,5807.71
111,14427,6599.977
112,14427,5884.374
113,14427,6347.504
114,14427,5831.644
115,14427,5875.163
116,14427,7663.588
117,14427,6580.571
118,14427,5129.135
119,14427,6186.097
120,14427,5823.079
121,14427,5791.028
122,14427,7184.273
123,14427,5909.566
124,14427,5584.52
125,14427,7116.636
126,14427,5868.557
127,14427,5590.618
128,14427,7097.38
129,14427,5916.733
130,14427,5582.327
131,14427,7022.49
132,14427,5865.576
133,14427,5969.159
134,14427,7912.448
135,14427,5889.886
136,14427,5795.441
137,14427,7156.17
138,14427,5886.585
139,14427,6002.535
140,14427,7882.065
141,14427,5900.539
142,14427,5215.46
143,14427,7181.075
144,14427,5855.121
145,14427,5900.273
146,14427,7886.461
147,14427,5915.428
148,14427,6651.89
149,14427,5841.167
150,14427,5840
151,14427,9749.823
152,14427,5239.189
153,14427,7069.696
154,14427,5867.667
155,14427,5173.587
156,14427,7196.384
157,14427,5836.245
158,14427,5607.082
159,14427,7441.386
160,14427,5549.434
161,14427,7289.58
162,14427,5168.708
163,14427,6964.552
164,14427,5860.432
165,14427,5231.367
166,14427,7602.451
167,14427,5699.017
168,14427,4656.115
169,14427,7694.018
170,14427,6001.672
171,14427,5859.705
172,14427,6654.58
173,14427,5931.943
174,14427,6485.481
175,14427,5865.2
176,14427,5919.688
177,14427,8317.758
178,14427,6133.504
179,14427,5832.166
180,14427,6278.601
181,14427,5831.084
182,14427,5838.371
183,14427,7138.868
184,14427,5885.298
185,14427,5957.823
186,14427,7388.019
187,14427,6229.227
188,14427,5911.353
189,14427,7861.8
190,14427,6215.171
191,14427,6199.178
192,14427,7720.013
193,14427,5575.04
194,14427,4681.041
195,14427,7850.896
196,14427,6492.032
197,14427,5049.649
198,14427,4616.073
199,14427,8891.415
200,14427,5011.462
201,14427,6845.587
202,14427,6221.603
203,14427,5832.439
204,14427,5850.588
205,14427,7462.652
206,14427,5662.207
207,14427,4790.269
208,14427,7766.158
209,14427,6638.792
210,14427,5068.751
211,14427,4691.471
212,14427,7913.645
213,14427,5380.954
214,14427,6253.268
215,14427,4671.103
216,14427,8874.584
217,14427,5556.588
218,14427,6205.036
219,14427,4627.139
220,14427,8971.163
221,14427,6680.507
222,14427,8746.327
223,14427,4845.377
224,14427,8928.169
225,14427,5137.795
226,14427,6898.287
227,14427,6823.56
228,14427,6134.812
229,14427,5853.119
230,14427,6320.148
231,14427,6351.211
232,14427,5846.286
233,14427,7100.515
234,14427,5844.858
235,14427,5571.615
236,14427,7097.273
237,14427,5850.032
238,14427,5588.656
239,14427,7124.248
240,14427,5898.409
241,14427,5524.444
242,14427,7291.295
243,14427,5917.917
244,14427,5566.013
245,14427,7450.174
246,14427,5568.437
247,14427,6143.737
248,14427,5846.384
249,14427,5852.816
250,14427,7615.925
251,28839,10338.998
252,28697,10508.666
253,28589,14492.412
254,14597,4980.019
255,14597,6749.513
256,14597,5936.942
257,14597,6028.351
258,20243,9348.305
259,20039,8293.909
260,14614,5462.481
261,14614,9717.52
262,14614,5508.215
263,14614,5225.475
264,15903,7940.534
265,15961,6754.05
266,17368,6558.81
267,22084,12417.411
268,14545,5215.374
