iter,label num,time*10000
1,3344,729.179
2,3500,808.329
3,3860,747.528
4,4305,931.904
5,4198,887.542
6,3564,837.699
7,3203,644.432
8,3523,789.196
9,3665,973.548
10,3036,719.146
11,3999,1078.272
12,4967,1072.8
13,5236,984.662
14,3555,758.404
15,3067,703.654
16,2423,658.16
17,3046,666.032
18,3899,916.724
19,3641,787.615
20,2594,730.11
21,3881,991.476
22,3674,805.376
23,3584,752.518
24,3731,821.054
25,3177,685.699
26,3917,955.198
27,2689,615.706
28,2687,598.561
29,2687,866.529
30,2687,835.036
31,2687,837.939
32,2687,872.12
33,2687,872.748
34,2687,874.021
35,2687,884.626
36,2687,796.442
37,2687,676.029
38,2687,706.642
39,2687,657.909
40,2687,775.928
41,2687,661.105
42,2687,817.708
43,2687,805.191
44,2687,752.987
45,2687,707.411
46,2687,846.846
47,2687,874.784
48,2687,865.132
49,2687,743.083
50,2687,840.093
51,2687,834.567
52,2687,891.216
53,2687,851.831
54,2687,803.645
55,2687,796.685
56,2687,697.365
57,2687,762.137
58,2687,691.808
59,2687,647.32
60,2687,772.601
61,2687,803.606
62,2687,817.544
63,2687,854.52
64,2687,604.089
65,2687,849.871
66,2687,756.607
67,2687,835.915
68,2687,683.365
69,2687,776.496
70,2687,768.638
71,2687,758.79
72,2687,811.504
73,2687,659.904
74,2687,764.008
75,2687,684.134
76,2687,646.53
77,2687,766.858
78,2687,659.986
79,2687,756.909
80,2687,606.251
81,2687,866.064
82,2687,868.914
83,2687,742.745
84,2687,781.568
85,2687,806.724
86,2687,710.455
87,2687,665.14
88,2687,729.93
89,2687,698.513
90,2687,724.555
91,2687,658.186
92,2687,690.528
93,2687,597.049
94,2687,764.859
95,2687,680.028
96,2687,661.215
97,2687,641.758
98,2687,816.251
99,2687,865.125
100,2687,862.839
101,2687,752.285
102,2687,685.42
103,2687,884.476
104,2687,748.676
105,2687,685.405
106,2687,750.257
107,2687,812.791
108,2687,682.349
109,2687,757.389
110,2687,864.613
111,2687,742.205
112,2687,617.81
113,2687,815.287
114,2687,833.324
115,2687,807.801
116,2687,765.522
117,2687,772.694
118,2687,823.179
119,2687,718.642
120,2687,785.769
121,2687,835.082
122,2687,839.542
123,2687,855.492
124,2687,761.908
125,2687,794.764
126,2687,669.472
127,2687,786.439
128,2687,853.8
129,2687,691.804
130,3212,990.371
131,3117,853.412
132,3117,939.016
133,3117,894.544
134,3117,1071.567
135,3117,866.583
136,3117,862.105
137,3117,989.003
138,3117,948.855
139,3159,929.185
140,3159,1009.499
141,3159,1018.699
142,2598,729.58
143,2598,789.878
144,2598,746.244
145,2598,767.505
146,2598,659.114
147,2598,752.163
148,2598,830.721
149,2598,853.094
150,2598,849.906
151,2598,741.051
152,2598,703.673
153,2598,785.633
154,2314,559.662
155,2314,768.025
156,2314,592.195
157,2314,791.51
158,2314,791.919
159,2314,758.01
160,2314,782.074
