iter,label num,time*10000
1,3152,624.586
2,3128,869.633
3,4059,995.193
4,4524,1421.096
5,4568,986.297
6,3700,1002.433
7,3031,935.609
8,2824,643.709
9,2640,637.262
10,2644,844.153
11,3341,724.344
12,4716,1040.87
13,3728,737.861
14,5096,1303.683
15,3245,856.05
16,2696,735.85
17,4124,869.341
18,2527,547.26
19,4292,1172.714
20,3252,744.868
21,3245,834.09
22,2521,713.495
23,2967,759.608
24,2481,598.693
25,2585,714.165
26,2568,692.176
27,2568,703.208
28,2566,512.851
29,2566,997.201
30,2566,724.069
31,2566,878.597
32,2566,593.061
33,2566,607.202
34,2566,609.509
35,2566,700.299
36,2566,611.739
37,2566,615.474
38,2566,708.611
39,2566,679.097
40,2566,612.206
41,2566,617.651
42,2566,620.639
43,2566,869.912
44,2566,861.656
45,2566,863.029
46,2566,847.692
47,2566,732.232
48,2566,706.437
49,2566,750.42
50,2566,860.168
51,2566,715.516
52,2566,882.968
53,2566,663.933
54,2566,819.986
55,2566,699.637
56,2566,688.167
57,2566,598.014
58,2566,636.194
59,2566,584.268
60,2566,588.234
61,2566,611.042
62,2566,620.727
63,2566,581.904
64,2566,693.076
65,2566,698.136
66,2566,706.99
67,2566,860.991
68,2566,775.006
69,2566,712.325
70,2566,740.436
71,2566,623.438
72,2566,657.563
73,2566,611.059
74,2566,607.892
75,2566,670.12
76,2566,672.182
77,2566,619.632
78,2566,682.397
79,2566,756.796
80,2566,803.034
81,2566,822.271
82,2566,840.122
83,2566,745.735
84,2566,683.545
85,2566,930.328
86,2566,769.476
87,2566,660.963
88,2566,930.017
89,2566,748.825
90,2566,808.704
91,2566,612.485
92,2566,716.936
93,2566,851.825
94,2566,856.447
95,2566,814.089
96,2566,739.31
97,2566,841.349
98,2566,866.438
99,2566,871.222
100,2566,774.73
101,2566,707.114
102,2566,741.157
103,2566,867.692
104,2566,799.156
105,2566,718.072
106,2566,783.227
107,2566,748.238
108,2566,804.223
109,2566,718.39
110,2566,856.064
111,2566,864.136
112,2566,760.186
113,2566,714.68
114,2566,889.455
115,2566,684.752
116,2566,837.794
117,2566,632.622
118,2566,704.857
119,2566,764.679
120,2566,838.703
121,2566,710.875
122,2566,784.573
123,2566,702.519
124,2566,678.077
125,2566,716.718
126,2566,792.524
127,2566,835.432
128,2566,715.724
129,2566,812.45
130,2566,775.521
131,2566,649.882
132,2566,628.259
133,2566,814.232
134,2566,862.007
135,2566,700.769
136,2566,678.686
137,2566,897.989
138,2566,675.383
139,2638,634.446
140,2638,668.947
141,2638,814.821
142,2638,609.783
143,2766,879.278
144,2725,598.034
145,2556,614.154
146,2556,794.081
147,2556,737.63
148,2556,879.639
149,2556,863.067
150,2556,806.004
151,2556,722.537
152,2556,805.603
153,2556,789.946
154,2556,619.675
155,2087,617.661
156,2314,567.293
157,2326,603.095
158,2236,469.654
