iter,label num,time*10000
1,1449,267.227
2,1552,410.441
3,1821,561.569
4,2019,606.467
5,2002,375.164
6,1772,334.766
7,1749,527.494
8,1499,572.076
9,1458,318.588
10,1250,244.431
11,2080,502.572
12,2094,585.427
13,2057,585.169
14,1490,476.58
15,1033,350.961
16,2187,390.901
17,1188,243.005
18,1188,222.178
19,1188,422.675
20,1188,224.036
21,1188,384.203
22,1188,216.87
23,1188,225.515
24,1188,392.882
25,1188,217.734
26,1188,228.077
27,1188,369.052
28,1188,218.918
29,1188,226.433
30,1188,365.306
31,1188,428.606
32,1188,356.986
33,1188,218.511
34,1188,211.368
35,1188,403.375
36,1188,401.516
37,1188,259.15
38,1188,218.05
39,1188,409.675
40,1188,344.471
41,1188,400.547
42,1188,249.425
43,1188,389.08
44,1188,213.006
45,1188,348.832
46,1188,213.603
47,1429,253.812
48,1210,378.777
49,1194,225.656
50,1194,221.224
51,1194,226.212
52,1194,361.652
53,1194,222.169
54,1194,382.944
