iter,label num,time*10000
1,1328,379.884
2,1484,385.06
3,1717,383.208
4,1906,617.459
5,1866,597.083
6,1639,306.003
7,1437,275.925
8,1276,320.19
9,1655,506.531
10,1276,249.425
11,1748,418.146
12,1868,465.927
13,929,190.103
14,2070,401.621
15,1008,385.488
16,1198,248.682
17,1278,252.083
18,1132,235.485
19,890,168.326
20,890,167.682
21,890,167.585
22,890,328.526
23,890,301.545
24,890,213.495
25,890,309.513
26,890,180.659
27,890,157.379
28,890,296.557
29,890,164.183
30,890,296.743
31,890,242.811
32,890,279.916
33,890,193.241
34,890,174.827
35,890,288.781
36,890,285.358
37,890,227.822
38,890,162.825
39,890,321.996
40,890,285.126
41,890,283.905
42,890,276.103
43,890,287.334
44,890,279.406
45,890,299.737
46,890,321.309
47,890,289.585
48,890,181.658
49,890,318.669
50,890,327.054
51,890,308.422
52,890,171.201
53,890,158.32
54,890,327.788
55,890,276.222
56,890,270.72
57,890,282.834
58,890,275.063
59,890,186.506
60,1025,176.959
61,1829,335.502
62,915,351.439
