交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,48,G7049,700,823,南京,上海
1,31,G7016,840,941,上海,南京
2,96,G7105,518,644,南京,上海
2,28,G7010,660,759,上海,南京
3,119,G7029,336,450,南京,上海
3,11,G7004,480,579,上海,南京
4,236,G7558,426,492,杭州,上海
4,186,G7351,578,667,上海,杭州
5,93,G7108,700,824,上海,南京
5,17,G7015,840,940,南京,上海
6,11,G7004,480,579,上海,南京
6,39,G7047,609,727,南京,上海
7,231,DJ7698,306,374,上海,南京
7,68,G7039,434,554,南京,上海
8,249,G7427,1083,1193,合肥,安庆
8,296,D5665,1225,1331,安庆,合肥
9,200,G7417,785,893,合肥,黄山北
9,201,G7418,933,1034,黄山北,合肥
10,98,G7115,810,932,南京,上海
10,19,G7020,960,1059,上海,南京
11,29,G7011,720,819,南京,上海
11,117,G7114,847,967,上海,南京
12,25,G7003,480,579,南京,上海
12,107,G7042,605,726,上海,南京
13,46,G7035,391,515,南京,上海
13,12,G7006,540,639,上海,南京
14,175,DJ7699,310,378,南京,上海
14,38,G7034,414,559,上海,南京
15,83,G7046,740,852,上海,南京
15,84,G7057,867,988,南京,上海
16,243,G7417,785,893,合肥,黄山北
16,244,G7418,933,1034,黄山北,合肥
17,11,G7004,480,579,上海,南京
17,89,G7109,595,720,南京,上海
18,43,DJ7716,305,408,上海,南京
18,68,G7039,434,554,南京,上海
19,21,G7023,1080,1179,南京,上海
19,120,G7066,1208,1329,上海,南京
20,10,G7001,420,520,南京,上海
20,47,G7038,545,668,上海,南京
21,295,D5662,1082,1187,合肥,安庆
21,296,D5665,1225,1331,安庆,合肥
