iter,label num,time*10000
1,1277,290.556
2,1325,194.619
3,1484,193.448
4,1601,229.728
5,1692,251.437
6,1737,264.936
7,1807,260.22
8,1821,262.334
9,1741,262.309
10,1567,267.65
11,1528,221.925
12,1541,266.933
13,1268,213.56
14,1279,169.259
15,1396,196.644
16,1396,190.711
17,1892,256.799
18,1622,267.834
19,2044,309.684
20,2034,281.295
21,2075,280.725
22,1821,269.568
23,1760,276.65
24,1879,292.394
25,2039,289.864
26,2102,376.973
27,994,358.458
28,994,335.855
29,994,313.449
30,994,131.439
31,994,209.722
32,994,175.962
33,994,145.288
34,994,139.71
35,994,145
36,994,139.568
37,917,165.151
38,917,133.112
39,917,138.514
40,917,128.888
41,2025,253.731
42,1197,175.578
43,1197,162.777
44,1197,161.692
45,1718,223.244
46,959,173.907
47,959,161.828
48,1487,211.91
49,1108,148.938
50,913,163.547
51,913,141.672
52,913,152.088
53,1630,211.144
54,1595,213.222
55,1897,281.882
56,1283,206.861
57,1792,221.799
58,1448,215.746
59,1474,185.281
60,1449,182.297
61,1449,208.958
62,1449,211.614
63,1449,176.276
64,1449,220.588
65,1449,214.247
66,1449,210.595
67,1525,228.219
68,1579,236.036
69,1677,253.943
70,1433,240.462
71,1461,234.688
72,1590,248.225
73,1495,240.816
74,1152,198.36
75,1111,145.486
76,1111,141.857
77,1111,173.54
78,1111,376.776
79,1111,332.7
80,1111,183.257
81,1111,356.701
82,1111,140.914
83,1111,380.899
84,1111,331.479
85,1111,301.326
86,1111,133.261
87,1111,139.274
88,1113,133.977
89,1113,151.811
90,1254,328.196
91,1089,259.002
